date,home,away,home_score,away_score,home_xg,away_xg,attendance,referee,match_report_url,home_pk_goals,home_pk_attempts,home_yellow_cards,home_red_cards,home_shots,home_shots_on_target,home_touches,home_pressures,home_tackles,home_interceptions,home_blocks,home_shot_creating_actions,home_goal_creating_actions,home_passes_attempted,home_passes_completed,home_carries,home_passing_progressive_dist,home_carry_progressive_dist,home_dribble_attempts,home_dribble_success,home_fouls_committed,away_pk_goals,away_pk_attempts,away_yellow_cards,away_red_cards,away_shots,away_shots_on_target,away_touches,away_pressures,away_tackles,away_interceptions,away_blocks,away_shot_creating_actions,away_goal_creating_actions,away_passes_attempted,away_passes_completed,away_carries,away_passing_progressive_dist,away_carry_progressive_dist,away_dribble_attempts,away_dribble_success,away_fouls_committed,season
2018-08-24,Bayern Munich,Hoffenheim,3,1,2.8,0.9,75000,Bastian Dankert,https://fbref.com/en/matches/2d71c150/Bayern-Munich-Hoffenheim-August-24-2018-Bundesliga,1,1,1,0,15,4,693,135,7,11,14,25,3,598,499,520,3408,1571,11,8,5,0,0,4,0,8,5,393,144,12,14,20,16,2,299,218,247,1866,808,7,5,21,2018-2019
2018-08-25,Düsseldorf,Augsburg,1,2,1.3,1.3,40996,Markus Schmidt,https://fbref.com/en/matches/05a8c375/Fortuna-Dusseldorf-Augsburg-August-25-2018-Bundesliga,0,0,1,0,10,5,610,183,19,11,13,12,2,505,373,350,3109,959,15,7,12,0,0,0,0,16,8,606,159,12,15,22,24,3,477,356,353,2881,1205,13,8,11,2018-2019
2018-08-25,Hertha BSC,Nürnberg,1,0,1.4,1.3,52729,Tobias Welz,https://fbref.com/en/matches/192de586/Hertha-BSC-Nurnberg-August-25-2018-Bundesliga,0,0,2,0,10,4,572,122,10,13,16,18,2,496,376,400,2929,1097,9,6,15,0,1,2,0,11,2,584,109,10,12,14,18,0,503,389,414,2638,1370,7,4,10,2018-2019
2018-08-25,Wolfsburg,Schalke 04,2,1,1.3,1.4,26621,Patrick Ittrich,https://fbref.com/en/matches/68b2ba8a/Wolfsburg-Schalke-04-August-25-2018-Bundesliga,0,0,5,0,11,7,578,139,17,21,19,12,2,464,344,317,2417,875,17,13,15,1,1,3,1,9,4,445,144,9,15,15,16,2,341,228,268,2300,1066,19,14,12,2018-2019
2018-08-25,Werder Bremen,Hannover 96,1,1,1.8,1,42100,Felix Brych,https://fbref.com/en/matches/3c44775e/Werder-Bremen-Hannover-96-August-25-2018-Bundesliga,0,0,0,0,15,3,687,171,15,14,14,28,2,598,484,501,3436,1231,22,15,8,0,0,0,0,13,5,593,213,16,29,22,25,2,480,375,377,2996,1147,26,21,8,2018-2019
2018-08-25,Freiburg,Eint Frankfurt,0,2,2,0.9,24000,Manuel Gräfe,https://fbref.com/en/matches/9c4f1720/Freiburg-Eintracht-Frankfurt-August-25-2018-Bundesliga,0,0,1,0,25,7,567,147,11,14,17,40,0,473,344,387,2912,1188,14,12,7,0,0,2,0,10,2,537,181,11,8,20,13,4,433,303,307,2994,720,15,12,13,2018-2019
2018-08-25,M'gladbach,Leverkusen,2,0,4.1,1.4,53087,Christian Dingert,https://fbref.com/en/matches/96b00eb9/Borussia-Monchengladbach-Bayer-Leverkusen-August-25-2018-Bundesliga,1,2,1,0,16,6,618,231,20,9,10,25,3,513,415,462,3002,1630,6,2,13,0,0,2,0,13,2,648,104,9,10,24,21,0,534,441,474,2795,1633,8,3,12,2018-2019
2018-08-26,Mainz 05,Stuttgart,1,0,1.1,1,28705,Daniel Siebert,https://fbref.com/en/matches/ab725d34/Mainz-05-Stuttgart-August-26-2018-Bundesliga,0,0,1,0,9,3,531,119,5,19,14,14,2,459,312,354,2596,1131,9,4,16,0,0,2,0,13,3,607,103,11,15,19,16,0,502,372,389,2396,906,6,2,7,2018-2019
2018-08-26,Dortmund,RB Leipzig,4,1,1,1.6,80365,Deniz Aytekin,https://fbref.com/en/matches/fbbdd6b2/Borussia-Dortmund-RB-Leipzig-August-26-2018-Bundesliga,0,0,2,0,9,5,537,129,13,19,12,17,7,410,305,328,2446,855,9,4,10,0,0,2,0,10,7,584,113,20,13,16,18,2,464,357,384,2438,1303,18,12,11,2018-2019
2018-08-31,Hannover 96,Dortmund,0,0,0.8,0.7,49000,Felix Zwayer,https://fbref.com/en/matches/00328c4a/Hannover-96-Borussia-Dortmund-August-31-2018-Bundesliga,0,0,0,0,8,0,735,170,19,11,16,12,0,636,494,532,3549,1301,8,6,13,0,0,0,0,9,3,618,140,18,15,13,13,0,508,365,384,2450,1032,12,5,5,2018-2019
2018-09-01,Eint Frankfurt,Werder Bremen,1,2,1.2,1.7,50000,Sören Storks,https://fbref.com/en/matches/4d495618/Eintracht-Frankfurt-Werder-Bremen-September-1-2018-Bundesliga,1,1,1,1,4,0,500,126,11,10,21,8,1,406,279,318,2482,912,7,5,8,0,0,2,0,14,7,636,146,14,17,21,21,3,512,408,447,2819,1532,11,7,15,2018-2019
2018-09-01,Leverkusen,Wolfsburg,1,3,1.5,1.2,26247,Sven Jablonski,https://fbref.com/en/matches/509c4a57/Bayer-Leverkusen-Wolfsburg-September-1-2018-Bundesliga,0,0,3,0,16,3,571,192,17,9,18,26,2,457,341,398,2564,1131,14,8,14,0,0,3,0,12,6,581,234,17,15,21,19,6,463,357,379,2731,994,8,4,14,2018-2019
2018-09-01,Augsburg,M'gladbach,1,1,1.1,1.1,29580,Frank Willenborg,https://fbref.com/en/matches/16fe4fac/Augsburg-Borussia-Monchengladbach-September-1-2018-Bundesliga,0,0,1,0,19,7,468,93,13,16,20,22,2,363,240,275,2477,777,3,1,13,0,0,2,0,7,1,652,256,12,6,22,13,2,539,418,454,3337,1129,13,6,12,2018-2019
2018-09-01,Nürnberg,Mainz 05,1,1,1.2,0.4,37781,Guido Winkmann,https://fbref.com/en/matches/1957ced0/Nurnberg-Mainz-05-September-1-2018-Bundesliga,0,0,2,0,19,4,694,130,19,6,6,28,2,593,480,512,3430,1509,9,4,10,0,0,2,0,5,1,554,131,17,18,17,9,2,442,343,372,2861,801,5,3,12,2018-2019
