date,home,away,home_score,away_score,home_xg,away_xg,attendance,referee,match_report_url,home_pk_goals,home_pk_attempts,home_yellow_cards,home_red_cards,home_shots,home_shots_on_target,home_touches,home_pressures,home_tackles,home_interceptions,home_blocks,home_shot_creating_actions,home_goal_creating_actions,home_passes_attempted,home_passes_completed,home_carries,home_passing_progressive_dist,home_carry_progressive_dist,home_dribble_attempts,home_dribble_success,home_fouls_committed,away_pk_goals,away_pk_attempts,away_yellow_cards,away_red_cards,away_shots,away_shots_on_target,away_touches,away_pressures,away_tackles,away_interceptions,away_blocks,away_shot_creating_actions,away_goal_creating_actions,away_passes_attempted,away_passes_completed,away_carries,away_passing_progressive_dist,away_carry_progressive_dist,away_dribble_attempts,away_dribble_success,away_fouls_committed,season
2019-08-16,Bayern Munich,Hertha BSC,2,2,2.6,1,75000,Harm Osmers,https://fbref.com/en/matches/64c6b172/Bayern-Munich-Hertha-BSC-August-16-2019-Bundesliga,1,1,3,0,17,6,844,120,8,5,13,32,4,738,643,613,3694,1941,22,15,6,0,0,3,0,6,3,434,265,15,11,25,7,3,302,218,252,1793,708,5,4,18,2019-2020
2019-08-17,Freiburg,Mainz 05,3,0,1.8,0.9,24000,Robert Hartmann,https://fbref.com/en/matches/ca302c1f/Freiburg-Mainz-05-August-17-2019-Bundesliga,1,1,1,0,18,7,580,147,14,8,16,32,5,447,348,399,2714,1484,19,17,6,0,0,3,0,19,5,524,163,21,12,23,29,0,389,298,323,2532,1038,18,12,14,2019-2020
2019-08-17,Leverkusen,Paderborn 07,3,2,2.7,1.2,26208,Tobias Stieler,https://fbref.com/en/matches/db6a3cfb/Bayer-Leverkusen-Paderborn-07-August-17-2019-Bundesliga,0,0,2,0,13,4,940,152,21,9,13,21,5,821,704,614,3851,1575,24,13,8,0,0,0,0,10,5,456,188,26,20,29,10,1,303,199,256,1730,967,27,13,13,2019-2020
2019-08-17,Dortmund,Augsburg,5,1,2.7,0.7,81365,Frank Willenborg,https://fbref.com/en/matches/cc473b97/Borussia-Dortmund-Augsburg-August-17-2019-Bundesliga,0,0,0,0,21,9,1040,121,16,7,10,26,8,939,861,842,3841,2237,36,21,8,0,0,0,0,5,1,393,186,28,17,13,8,2,264,196,201,1459,694,15,5,7,2019-2020
2019-08-17,Werder Bremen,Düsseldorf,1,3,2.4,0.9,42100,Felix Zwayer,https://fbref.com/en/matches/e2f8f9ad/Werder-Bremen-Fortuna-Dusseldorf-August-17-2019-Bundesliga,0,0,0,0,24,10,808,161,12,7,18,38,2,681,591,616,3522,1660,18,14,9,0,0,2,0,12,7,473,305,16,10,20,15,4,350,258,272,2415,865,11,7,13,2019-2020
2019-08-17,Wolfsburg,Köln,2,1,0.9,1.2,25099,Sven Jablonski,https://fbref.com/en/matches/8ba606b2/Wolfsburg-Koln-August-17-2019-Bundesliga,0,0,1,0,15,5,567,199,18,9,28,21,2,418,310,331,2304,1100,20,16,15,0,0,3,0,11,2,606,229,18,10,19,13,0,469,355,376,2975,1096,21,11,18,2019-2020
2019-08-17,M'gladbach,Schalke 04,0,0,1.6,0.6,54022,Felix Brych,https://fbref.com/en/matches/e0231248/Borussia-Monchengladbach-Schalke-04-August-17-2019-Bundesliga,0,0,3,0,16,4,686,154,16,14,17,20,0,580,463,505,3047,1729,30,17,10,0,0,2,0,8,1,506,218,19,23,22,11,0,392,283,309,2694,810,8,6,11,2019-2020
2019-08-18,Eint Frankfurt,Hoffenheim,1,0,1.1,0.6,50200,Daniel Siebert,https://fbref.com/en/matches/eef5167d/Eintracht-Frankfurt-Hoffenheim-August-18-2019-Bundesliga,0,0,3,0,15,7,426,212,26,9,19,21,2,285,190,238,1773,1055,19,8,19,0,0,1,0,10,1,742,107,23,9,22,18,0,592,502,500,3464,1171,19,11,9,2019-2020
2019-08-18,Union Berlin,RB Leipzig,0,4,0.5,3.1,22467,Markus Schmidt,https://fbref.com/en/matches/e9b15f14/Union-Berlin-RB-Leipzig-August-18-2019-Bundesliga,0,0,1,0,12,2,494,215,27,17,9,11,0,379,264,291,2434,1126,19,11,14,0,0,0,0,12,8,793,118,16,17,16,20,7,629,545,531,3776,1562,25,13,7,2019-2020
2019-08-23,Köln,Dortmund,1,3,0.7,1.4,50000,Christian Dingert,https://fbref.com/en/matches/b525a1fd/Koln-Borussia-Dortmund-August-23-2019-Bundesliga,0,0,2,0,11,1,393,227,23,13,16,12,1,261,169,200,1673,833,15,7,12,0,0,1,0,13,6,849,123,20,12,18,23,6,736,637,614,3354,2002,20,11,11,2019-2020
