date,home,away,home_score,away_score,home_xg,away_xg,attendance,referee,match_report_url,home_pk_goals,home_pk_attempts,home_yellow_cards,home_red_cards,home_shots,home_shots_on_target,home_tackles,home_interceptions,home_fouls_committed,away_pk_goals,away_pk_attempts,away_yellow_cards,away_red_cards,away_shots,away_shots_on_target,away_tackles,away_interceptions,away_fouls_committed,season
2016-07-30,Zenit,Loko Moscow,0,0,NA,NA,18427,Aleksandr Egorov,https://fbref.com/en/matches/f66bb357/Zenit-Lokomotiv-Moscow-July-30-2016-Russian-Premier-League,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2016-2017
2016-07-30,Anzhi,CSKA Moscow,0,0,NA,NA,16500,Vitaly Meshkov,https://fbref.com/en/matches/c95ea6ec/Anzhi-Makhachkala-CSKA-Moscow-July-30-2016-Russian-Premier-League,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016-2017
2016-07-30,Rostov,Orenburg,1,0,NA,NA,6000,Alexey Nikolaev,https://fbref.com/en/matches/b2de04db/Rostov-Orenburg-July-30-2016-Russian-Premier-League,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,2016-2017
2016-07-31,Ural,Ufa,2,0,NA,NA,7850,Sergey Ivanov,https://fbref.com/en/matches/e6dd0eac/Ural-Yekaterinburg-Ufa-July-31-2016-Russian-Premier-League,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2016-2017
2016-07-31,Spartak Moscow,Arsenal Tula,4,0,NA,NA,28052,Kirill Levnikov,https://fbref.com/en/matches/6c88728c/Spartak-Moscow-Arsenal-Tula-July-31-2016-Russian-Premier-League,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017
2016-07-31,Terek Grozny,Samara,1,0,NA,NA,18783,Aleksey Eskov,https://fbref.com/en/matches/224a7e11/Terek-Grozny-Krylia-Sovetov-Samara-July-31-2016-Russian-Premier-League,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2016-2017
2016-08-01,Krasnodar,Tom Tomsk,3,0,NA,NA,7198,Igor Fedotov,https://fbref.com/en/matches/a4564662/Krasnodar-Tom-Tomsk-August-1-2016-Russian-Premier-League,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,2016-2017
2016-08-01,Rubin Kazan,Amkar Perm,0,0,NA,NA,12178,Mikhail Vilkov,https://fbref.com/en/matches/fdb54dd7/Rubin-Kazan-Amkar-Perm-August-1-2016-Russian-Premier-League,0,0,2,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2016-2017
2016-08-06,Ufa,Zenit,0,0,NA,NA,7800,Vitaly Meshkov,https://fbref.com/en/matches/f50d4d35/Ufa-Zenit-August-6-2016-Russian-Premier-League,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2016-2017
2016-08-06,Arsenal Tula,Rubin Kazan,1,0,NA,NA,11500,Evgeny Turbin,https://fbref.com/en/matches/0beac645/Arsenal-Tula-Rubin-Kazan-August-6-2016-Russian-Premier-League,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2016-2017
2016-08-07,Orenburg,CSKA Moscow,0,1,NA,NA,5600,Aleksandr Egorov,https://fbref.com/en/matches/0e8adb86/Orenburg-CSKA-Moscow-August-7-2016-Russian-Premier-League,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016-2017
2016-08-07,Amkar Perm,Anzhi,2,0,NA,NA,8800,Vladislav Bezborodov,https://fbref.com/en/matches/f6dea571/Amkar-Perm-Anzhi-Makhachkala-August-7-2016-Russian-Premier-League,0,1,2,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,2016-2017
2016-08-07,Loko Moscow,Tom Tomsk,2,2,NA,NA,8103,Sergey Ivanov,https://fbref.com/en/matches/a10e7faa/Lokomotiv-Moscow-Tom-Tomsk-August-7-2016-Russian-Premier-League,2,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2016-2017
2016-08-07,Rostov,Ural,0,0,NA,NA,8494,Igor Fedotov,https://fbref.com/en/matches/c941cef2/Rostov-Ural-Yekaterinburg-August-7-2016-Russian-Premier-League,0,0,2,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2016-2017
2016-08-08,Spartak Moscow,Samara,1,0,NA,NA,17449,Mikhail Vilkov,https://fbref.com/en/matches/d80ceccb/Spartak-Moscow-Krylia-Sovetov-Samara-August-8-2016-Russian-Premier-League,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017
2016-08-08,Krasnodar,Terek Grozny,4,0,NA,NA,7930,Vladimir Seldyakov,https://fbref.com/en/matches/c8b15af7/Krasnodar-Terek-Grozny-August-8-2016-Russian-Premier-League,0,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2016-2017
2016-08-12,Zenit,Rostov,3,2,NA,NA,17967,Vladimir Moskalev,https://fbref.com/en/matches/233ec6f6/Zenit-Rostov-August-12-2016-Russian-Premier-League,1,1,5,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,2016-2017
2016-08-13,Ural,CSKA Moscow,0,1,NA,NA,8800,Kirill Levnikov,https://fbref.com/en/matches/51150357/Ural-Yekaterinburg-CSKA-Moscow-August-13-2016-Russian-Premier-League,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017
2016-08-13,Samara,Krasnodar,1,1,NA,NA,9012,Alexey Nikolaev,https://fbref.com/en/matches/234e0fc3/Krylia-Sovetov-Samara-Krasnodar-August-13-2016-Russian-Premier-League,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017
2016-08-13,Rubin Kazan,Spartak Moscow,1,1,NA,NA,17339,Vitaly Meshkov,https://fbref.com/en/matches/3802e528/Rubin-Kazan-Spartak-Moscow-August-13-2016-Russian-Premier-League,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2016-2017
2016-08-14,Tom Tomsk,Ufa,1,0,NA,NA,6873,Sergey Lapochkin,https://fbref.com/en/matches/905a3b5c/Tom-Tomsk-Ufa-August-14-2016-Russian-Premier-League,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2016-2017
2016-08-14,Anzhi,Arsenal Tula,1,0,NA,NA,7300,Aleksey Matyunin,https://fbref.com/en/matches/6e2ad96a/Anzhi-Makhachkala-Arsenal-Tula-August-14-2016-Russian-Premier-League,0,0,5,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2016-2017
2016-08-14,Terek Grozny,Loko Moscow,1,1,NA,NA,14720,Vladislav Bezborodov,https://fbref.com/en/matches/c9d3a42f/Terek-Grozny-Lokomotiv-Moscow-August-14-2016-Russian-Premier-League,0,0,2,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,2016-2017
2016-08-15,Orenburg,Amkar Perm,0,0,NA,NA,5083,Aleksey Eskov,https://fbref.com/en/matches/9b526a47/Orenburg-Amkar-Perm-August-15-2016-Russian-Premier-League,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2016-2017
2016-08-19,Rubin Kazan,Anzhi,1,2,NA,NA,8572,Aleksey Eskov,https://fbref.com/en/matches/b1dcea2d/Rubin-Kazan-Anzhi-Makhachkala-August-19-2016-Russian-Premier-League,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2016-2017
2016-08-20,Ufa,Terek Grozny,1,3,NA,NA,4800,Igor Fedotov,https://fbref.com/en/matches/ee9026ca/Ufa-Terek-Grozny-August-20-2016-Russian-Premier-League,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2016-2017
2016-08-20,Zenit,CSKA Moscow,1,1,NA,NA,17678,Sergey Ivanov,https://fbref.com/en/matches/4659f38a/Zenit-CSKA-Moscow-August-20-2016-Russian-Premier-League,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2016-2017
2016-08-20,Rostov,Tom Tomsk,3,0,NA,NA,7971,Aleksandr Egorov,https://fbref.com/en/matches/5049b2d6/Rostov-Tom-Tomsk-August-20-2016-Russian-Premier-League,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2016-2017
2016-08-21,Amkar Perm,Ural,1,0,NA,NA,7900,Alexey Nikolaev,https://fbref.com/en/matches/7f8adbb6/Amkar-Perm-Ural-Yekaterinburg-August-21-2016-Russian-Premier-League,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017
2016-08-21,Spartak Moscow,Krasnodar,2,0,NA,NA,31035,Vladislav Bezborodov,https://fbref.com/en/matches/d57f689e/Spartak-Moscow-Krasnodar-August-21-2016-Russian-Premier-League,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016-2017
2016-08-21,Loko Moscow,Samara,0,0,NA,NA,9107,Kirill Levnikov,https://fbref.com/en/matches/14e8b7a3/Lokomotiv-Moscow-Krylia-Sovetov-Samara-August-21-2016-Russian-Premier-League,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2016-2017
2016-08-22,Arsenal Tula,Orenburg,0,0,NA,NA,10900,Mikhail Vilkov,https://fbref.com/en/matches/3e6cd847/Arsenal-Tula-Orenburg-August-22-2016-Russian-Premier-League,0,0,2,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,2016-2017
2016-08-26,Samara,Ufa,0,1,NA,NA,9082,Aleksandr Egorov,https://fbref.com/en/matches/af32fbfa/Krylia-Sovetov-Samara-Ufa-August-26-2016-Russian-Premier-League,0,0,1,0,0,0,0,0,0,1,1,5,1,0,0,0,0,0,2016-2017
2016-08-27,Orenburg,Rubin Kazan,1,1,NA,NA,5825,Sergey Karasev,https://fbref.com/en/matches/496feb77/Orenburg-Rubin-Kazan-August-27-2016-Russian-Premier-League,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016-2017
2016-08-27,Tom Tomsk,CSKA Moscow,0,1,NA,NA,8250,Mikhail Vilkov,https://fbref.com/en/matches/585eb49a/Tom-Tomsk-CSKA-Moscow-August-27-2016-Russian-Premier-League,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2016-2017
2016-08-27,Zenit,Amkar Perm,3,0,NA,NA,17864,Vladimir Seldyakov,https://fbref.com/en/matches/f750655e/Zenit-Amkar-Perm-August-27-2016-Russian-Premier-League,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017
2016-08-28,Ural,Arsenal Tula,1,1,NA,NA,6556,Roman,https://fbref.com/en/matches/2b68d5b0/Ural-Yekaterinburg-Arsenal-Tula-August-28-2016-Russian-Premier-League,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2016-2017
2016-08-28,Terek Grozny,Rostov,2,1,NA,NA,14372,Aleksey Matyunin,https://fbref.com/en/matches/325466b0/Terek-Grozny-Rostov-August-28-2016-Russian-Premier-League,0,0,2,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,2016-2017
2016-08-28,Krasnodar,Loko Moscow,1,2,NA,NA,12780,Sergey Lapochkin,https://fbref.com/en/matches/b8ab48a3/Krasnodar-Lokomotiv-Moscow-August-28-2016-Russian-Premier-League,1,1,1,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,2016-2017
2016-08-28,Anzhi,Spartak Moscow,0,2,NA,NA,14300,Sergey Ivanov,https://fbref.com/en/matches/8be8453d/Anzhi-Makhachkala-Spartak-Moscow-August-28-2016-Russian-Premier-League,0,0,4,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,2016-2017
2016-09-09,Rostov,Samara,2,1,NA,NA,14800,Sergey Karasev,https://fbref.com/en/matches/1f5dd018/Rostov-Krylia-Sovetov-Samara-September-9-2016-Russian-Premier-League,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2016-2017
2016-09-10,Amkar Perm,Tom Tomsk,1,0,NA,NA,6500,Evgeny Turbin,https://fbref.com/en/matches/ab319b85/Amkar-Perm-Tom-Tomsk-September-10-2016-Russian-Premier-League,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016-2017
