date,home,away,home_score,away_score,home_xg,away_xg,attendance,referee,match_report_url,home_pk_goals,home_pk_attempts,home_yellow_cards,home_red_cards,home_shots,home_shots_on_target,home_tackles,home_interceptions,home_fouls_committed,away_pk_goals,away_pk_attempts,away_yellow_cards,away_red_cards,away_shots,away_shots_on_target,away_tackles,away_interceptions,away_fouls_committed,season
2017-07-15,Ural,Rostov,1,1,NA,NA,6846,Sergey Lapochkin,https://fbref.com/en/matches/b23f88a0/Ural-Yekaterinburg-Rostov-July-15-2017-Russian-Premier-League,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2017-2018
2017-07-15,Tosno,Ufa,0,1,NA,NA,4053,Vladimir Moskalev,https://fbref.com/en/matches/6cc62c03/Tosno-Ufa-July-15-2017-Russian-Premier-League,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2017-2018
2017-07-15,Anzhi,CSKA Moscow,1,3,NA,NA,9400,Vladimir Seldyakov,https://fbref.com/en/matches/fc6f120a/Anzhi-Makhachkala-CSKA-Moscow-July-15-2017-Russian-Premier-League,0,0,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2017-2018
2017-07-16,SKA-Khabarovsk,Zenit,0,2,NA,NA,14200,Roman,https://fbref.com/en/matches/c01ee2d0/SKA-Khabarovsk-Zenit-July-16-2017-Russian-Premier-League,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2017-2018
2017-07-16,Rubin Kazan,Krasnodar,1,2,NA,NA,11934,Evgeny Turbin,https://fbref.com/en/matches/53787b0b/Rubin-Kazan-Krasnodar-July-16-2017-Russian-Premier-League,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2017-2018
2017-07-16,Akhmat Grozny,Amkar Perm,1,0,NA,NA,29450,Kirill Levnikov,https://fbref.com/en/matches/dd254af3/Akhmat-Grozny-Amkar-Perm-July-16-2017-Russian-Premier-League,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2017-2018
2017-07-18,Loko Moscow,Arsenal Tula,1,0,NA,NA,6166,Aleksey Sukhoy,https://fbref.com/en/matches/bee76973/Lokomotiv-Moscow-Arsenal-Tula-July-18-2017-Russian-Premier-League,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2017-2018
2017-07-18,Dynamo Mosc,Spartak Moscow,2,2,NA,NA,17133,Sergey Karasev,https://fbref.com/en/matches/441865db/Dynamo-Moscow-Spartak-Moscow-July-18-2017-Russian-Premier-League,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2017-2018
2017-07-21,Anzhi,Amkar Perm,1,0,NA,NA,6207,Vladislav Bezborodov,https://fbref.com/en/matches/926ac5f5/Anzhi-Makhachkala-Amkar-Perm-July-21-2017-Russian-Premier-League,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2017-2018
2017-07-21,CSKA Moscow,Loko Moscow,1,3,NA,NA,14500,Sergey Karasev,https://fbref.com/en/matches/751b0bbb/CSKA-Moscow-Lokomotiv-Moscow-July-21-2017-Russian-Premier-League,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2017-2018
2017-07-22,Zenit,Rubin Kazan,2,1,NA,NA,38284,Vladimir Seldyakov,https://fbref.com/en/matches/13901bdb/Zenit-Rubin-Kazan-July-22-2017-Russian-Premier-League,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2017-2018
2017-07-22,Krasnodar,Tosno,2,0,NA,NA,17250,Aleksey Eskov,https://fbref.com/en/matches/f4a6e8b6/Krasnodar-Tosno-July-22-2017-Russian-Premier-League,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2017-2018
2017-07-23,Ufa,Spartak Moscow,0,0,NA,NA,12571,Aleksey Sukhoy,https://fbref.com/en/matches/58236ad0/Ufa-Spartak-Moscow-July-23-2017-Russian-Premier-League,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2017-2018
2017-07-23,Dynamo Mosc,Ural,0,1,NA,NA,6853,Vladimir Moskalev,https://fbref.com/en/matches/2972d028/Dynamo-Moscow-Ural-Yekaterinburg-July-23-2017-Russian-Premier-League,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2017-2018
2017-07-23,Rostov,Akhmat Grozny,0,1,NA,NA,10305,Roman,https://fbref.com/en/matches/fce976fd/Rostov-Akhmat-Grozny-July-23-2017-Russian-Premier-League,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2017-2018
2017-07-24,Arsenal Tula,SKA-Khabarovsk,1,0,NA,NA,12700,Evgeny Turbin,https://fbref.com/en/matches/eed372f4/Arsenal-Tula-SKA-Khabarovsk-July-24-2017-Russian-Premier-League,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2017-2018
2017-07-29,CSKA Moscow,SKA-Khabarovsk,2,0,NA,NA,8500,Kirill Levnikov,https://fbref.com/en/matches/cb8811ff/CSKA-Moscow-SKA-Khabarovsk-July-29-2017-Russian-Premier-League,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2017-2018
2017-07-29,Ural,Ufa,1,1,NA,NA,6280,Sergey Karasev,https://fbref.com/en/matches/6bf951c4/Ural-Yekaterinburg-Ufa-July-29-2017-Russian-Premier-League,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2017-2018
2017-07-29,Rubin Kazan,Arsenal Tula,2,1,NA,NA,7220,Vladimir Moskalev,https://fbref.com/en/matches/9bb3ebae/Rubin-Kazan-Arsenal-Tula-July-29-2017-Russian-Premier-League,1,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2017-2018
2017-07-29,Akhmat Grozny,Dynamo Mosc,2,0,NA,NA,17324,Vladislav Bezborodov,https://fbref.com/en/matches/32418c5f/Akhmat-Grozny-Dynamo-Moscow-July-29-2017-Russian-Premier-League,1,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2017-2018
2017-07-30,Amkar Perm,Rostov,0,1,NA,NA,4900,Alexey Nikolaev,https://fbref.com/en/matches/858b0e8c/Amkar-Perm-Rostov-July-30-2017-Russian-Premier-League,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2017-2018
2017-07-30,Loko Moscow,Anzhi,1,0,NA,NA,7603,Roman,https://fbref.com/en/matches/5ddf8ce5/Lokomotiv-Moscow-Anzhi-Makhachkala-July-30-2017-Russian-Premier-League,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2017-2018
2017-07-30,Tosno,Zenit,0,1,NA,NA,12555,Aleksey Sukhoy,https://fbref.com/en/matches/50ba0b6b/Tosno-Zenit-July-30-2017-Russian-Premier-League,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2017-2018
2017-07-31,Spartak Moscow,Krasnodar,2,0,NA,NA,34208,Sergey Lapochkin,https://fbref.com/en/matches/de3a940d/Spartak-Moscow-Krasnodar-July-31-2017-Russian-Premier-League,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2017-2018
2017-08-04,Anzhi,Rostov,0,1,NA,NA,5690,Igor Fedotov,https://fbref.com/en/matches/2e8ede00/Anzhi-Makhachkala-Rostov-August-4-2017-Russian-Premier-League,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2017-2018
2017-08-05,Ufa,Akhmat Grozny,3,2,NA,NA,5102,Vladimir Seldyakov,https://fbref.com/en/matches/3c8cf5e8/Ufa-Akhmat-Grozny-August-5-2017-Russian-Premier-League,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2017-2018
2017-08-05,Dynamo Mosc,Amkar Perm,3,0,NA,NA,5423,Evgeny Turbin,https://fbref.com/en/matches/59b027c8/Dynamo-Moscow-Amkar-Perm-August-5-2017-Russian-Premier-League,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2017-2018
2017-08-05,Loko Moscow,SKA-Khabarovsk,1,0,NA,NA,8161,Sergey Lapochkin,https://fbref.com/en/matches/b038cd28/Lokomotiv-Moscow-SKA-Khabarovsk-August-5-2017-Russian-Premier-League,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2017-2018
2017-08-06,Arsenal Tula,Tosno,1,2,NA,NA,11150,Sergey Ivanov,https://fbref.com/en/matches/fb06ba65/Arsenal-Tula-Tosno-August-6-2017-Russian-Premier-League,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018
2017-08-06,CSKA Moscow,Rubin Kazan,1,2,NA,NA,11165,Vladislav Bezborodov,https://fbref.com/en/matches/93907e7e/CSKA-Moscow-Rubin-Kazan-August-6-2017-Russian-Premier-League,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2017-2018
2017-08-06,Krasnodar,Ural,1,1,NA,NA,34197,Alexey Nikolaev,https://fbref.com/en/matches/bb573278/Krasnodar-Ural-Yekaterinburg-August-6-2017-Russian-Premier-League,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2017-2018
2017-08-06,Zenit,Spartak Moscow,5,1,NA,NA,69501,Mikhail Vilkov,https://fbref.com/en/matches/f56bfa7d/Zenit-Spartak-Moscow-August-6-2017-Russian-Premier-League,0,0,2,1,0,0,0,0,0,1,1,4,1,0,0,0,0,0,2017-2018
2017-08-08,SKA-Khabarovsk,Anzhi,2,0,NA,NA,8100,Aleksey Matyunin,https://fbref.com/en/matches/a7302c4b/SKA-Khabarovsk-Anzhi-Makhachkala-August-8-2017-Russian-Premier-League,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2017-2018
2017-08-08,Amkar Perm,Ufa,0,0,NA,NA,4900,Igor Fedotov,https://fbref.com/en/matches/c17f4b6f/Amkar-Perm-Ufa-August-8-2017-Russian-Premier-League,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2017-2018
2017-08-09,Ural,Zenit,1,1,NA,NA,8965,Roman,https://fbref.com/en/matches/c479c1c7/Ural-Yekaterinburg-Zenit-August-9-2017-Russian-Premier-League,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2017-2018
2017-08-09,Spartak Moscow,Arsenal Tula,2,0,NA,NA,26183,Sergey Kulikov,https://fbref.com/en/matches/1e680307/Spartak-Moscow-Arsenal-Tula-August-9-2017-Russian-Premier-League,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2017-2018
2017-08-09,Rostov,Dynamo Mosc,1,0,NA,NA,10215,Sergey Lapochkin,https://fbref.com/en/matches/e9f3e693/Rostov-Dynamo-Moscow-August-9-2017-Russian-Premier-League,1,1,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2017-2018
2017-08-09,Rubin Kazan,Loko Moscow,1,1,NA,NA,14095,Aleksey Sukhoy,https://fbref.com/en/matches/ed3cd05d/Rubin-Kazan-Lokomotiv-Moscow-August-9-2017-Russian-Premier-League,1,1,3,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2017-2018
2017-08-09,Tosno,CSKA Moscow,1,2,NA,NA,6350,Vladimir Moskalev,https://fbref.com/en/matches/e9073215/Tosno-CSKA-Moscow-August-9-2017-Russian-Premier-League,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2017-2018
2017-08-10,Akhmat Grozny,Krasnodar,2,3,NA,NA,17342,Sergey Ivanov,https://fbref.com/en/matches/54bfdbd5/Akhmat-Grozny-Krasnodar-August-10-2017-Russian-Premier-League,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2017-2018
2017-08-12,Ufa,Rostov,1,4,NA,NA,5626,Aleksey Matyunin,https://fbref.com/en/matches/280fded4/Ufa-Rostov-August-12-2017-Russian-Premier-League,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2017-2018
2017-08-12,CSKA Moscow,Spartak Moscow,2,1,NA,NA,24000,Vladimir Seldyakov,https://fbref.com/en/matches/f3401399/CSKA-Moscow-Spartak-Moscow-August-12-2017-Russian-Premier-League,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2017-2018
2017-08-12,Anzhi,Dynamo Mosc,1,3,NA,NA,5339,Mikhail Vilkov,https://fbref.com/en/matches/742e2ef6/Anzhi-Makhachkala-Dynamo-Moscow-August-12-2017-Russian-Premier-League,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,2017-2018
2017-08-13,SKA-Khabarovsk,Rubin Kazan,1,1,NA,NA,11230,Alexey Nikolaev,https://fbref.com/en/matches/f19437c7/SKA-Khabarovsk-Rubin-Kazan-August-13-2017-Russian-Premier-League,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2017-2018
2017-08-13,Loko Moscow,Tosno,0,2,NA,NA,11230,Sergey Kulikov,https://fbref.com/en/matches/ac879448/Lokomotiv-Moscow-Tosno-August-13-2017-Russian-Premier-League,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2017-2018
2017-08-13,Krasnodar,Amkar Perm,1,1,NA,NA,17367,Roman,https://fbref.com/en/matches/fc51b5ff/Krasnodar-Amkar-Perm-August-13-2017-Russian-Premier-League,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2017-2018
2017-08-13,Zenit,Akhmat Grozny,4,0,NA,NA,45470,Igor Fedotov,https://fbref.com/en/matches/31166c17/Zenit-Akhmat-Grozny-August-13-2017-Russian-Premier-League,0,0,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,2017-2018
2017-08-14,Arsenal Tula,Ural,2,2,NA,NA,10050,Aleksey Sukhoy,https://fbref.com/en/matches/926bc5b6/Arsenal-Tula-Ural-Yekaterinburg-August-14-2017-Russian-Premier-League,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2017-2018
2017-08-18,Tosno,SKA-Khabarovsk,0,0,NA,NA,6574,Pavel Kukuyan,https://fbref.com/en/matches/20e2bbe3/Tosno-SKA-Khabarovsk-August-18-2017-Russian-Premier-League,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2017-2018
2017-08-19,Ural,CSKA Moscow,0,0,NA,NA,8964,Sergey Lapochkin,https://fbref.com/en/matches/ab83c2a8/Ural-Yekaterinburg-CSKA-Moscow-August-19-2017-Russian-Premier-League,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2017-2018
2017-08-19,Spartak Moscow,Loko Moscow,3,4,NA,NA,33027,Aleksey Eskov,https://fbref.com/en/matches/d0538557/Spartak-Moscow-Lokomotiv-Moscow-August-19-2017-Russian-Premier-League,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2017-2018
2017-08-19,Rubin Kazan,Anzhi,6,0,NA,NA,11252,Sergey Karasev,https://fbref.com/en/matches/db7492c9/Rubin-Kazan-Anzhi-Makhachkala-August-19-2017-Russian-Premier-League,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2017-2018
2017-08-20,Amkar Perm,Zenit,0,1,NA,NA,11345,Aleksey Matyunin,https://fbref.com/en/matches/720ad555/Amkar-Perm-Zenit-August-20-2017-Russian-Premier-League,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2017-2018
2017-08-20,Dynamo Mosc,Ufa,1,1,NA,NA,6179,Vladislav Bezborodov,https://fbref.com/en/matches/5629f596/Dynamo-Moscow-Ufa-August-20-2017-Russian-Premier-League,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2017-2018
2017-08-20,Rostov,Krasnodar,0,0,NA,NA,12328,Mikhail Vilkov,https://fbref.com/en/matches/d1a38373/Rostov-Krasnodar-August-20-2017-Russian-Premier-League,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2017-2018
