date,home,away,home_score,away_score,home_xg,away_xg,attendance,referee,match_report_url,home_pk_goals,home_pk_attempts,home_yellow_cards,home_red_cards,home_shots,home_shots_on_target,home_tackles,home_interceptions,home_fouls_committed,away_pk_goals,away_pk_attempts,away_yellow_cards,away_red_cards,away_shots,away_shots_on_target,away_tackles,away_interceptions,away_fouls_committed,season
2017-08-25,Parma,Cremonese,1,0,NA,NA,11387,Eugenio Abbattista,https://fbref.com/en/matches/8f85b74d/Parma-Cremonese-August-25-2017-Serie-B,1,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2017-2018
2017-08-26,Virtus Entella,Perugia,1,5,NA,NA,2147,Luigi Pillitteri,https://fbref.com/en/matches/d95f3d57/Virtus-Entella-Perugia-August-26-2017-Serie-B,1,1,2,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,2017-2018
2017-08-26,Cittadella,Ascoli,3,2,NA,NA,2901,Ivan Pezzuto,https://fbref.com/en/matches/4335a267/Cittadella-Ascoli-August-26-2017-Serie-B,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2017-2018
2017-08-26,Avellino,Brescia,2,1,NA,NA,8000,Valerio Marini,https://fbref.com/en/matches/87478f5f/Avellino-Brescia-August-26-2017-Serie-B,0,1,3,0,0,0,0,0,0,1,1,4,1,0,0,0,0,0,2017-2018
2017-08-26,Ternana,Empoli,1,1,NA,NA,4536,Livio Marinelli,https://fbref.com/en/matches/d12447a0/Ternana-Empoli-August-26-2017-Serie-B,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2017-2018
2017-08-26,Pro Vercelli,Frosinone,0,2,NA,NA,2718,Lorenzo Illuzzi,https://fbref.com/en/matches/6feb7b6f/Pro-Vercelli-Frosinone-August-26-2017-Serie-B,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2017-2018
2017-08-26,Palermo,Spezia,2,0,NA,NA,6770,Luigi Nasca,https://fbref.com/en/matches/4a16c6d3/Palermo-Spezia-August-26-2017-Serie-B,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2017-2018
2017-08-26,Carpi,Novara,1,0,NA,NA,2187,Antonello Balice,https://fbref.com/en/matches/149d7e98/Carpi-Novara-August-26-2017-Serie-B,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2017-2018
2017-08-26,Venezia,Salernitana,0,0,NA,NA,4100,Marco Piccinini,https://fbref.com/en/matches/87b265e6/Venezia-Salernitana-August-26-2017-Serie-B,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2017-2018
2017-08-27,Pescara,Foggia,5,1,NA,NA,12672,Francesco Paolo Saia,https://fbref.com/en/matches/be7d7744/Pescara-Foggia-August-27-2017-Serie-B,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2017-2018
2017-08-28,Bari,Cesena,3,0,NA,NA,17950,Juan Sacchi,https://fbref.com/en/matches/6a3ec95b/Bari-Cesena-August-28-2017-Serie-B,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2017-2018
2017-09-02,Brescia,Palermo,0,0,NA,NA,5081,Antonio Rapuano,https://fbref.com/en/matches/b8171ba8/Brescia-Palermo-September-2-2017-Serie-B,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018
2017-09-03,Empoli,Bari,3,2,NA,NA,4445,Daniele Chiffi,https://fbref.com/en/matches/0dc7733e/Empoli-Bari-September-3-2017-Serie-B,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2017-2018
2017-09-03,Frosinone,Cittadella,2,1,NA,NA,912,Antonio Di Martino,https://fbref.com/en/matches/3817e2b5/Frosinone-Cittadella-September-3-2017-Serie-B,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2017-2018
2017-09-03,Cesena,Venezia,0,0,NA,NA,11581,Francesco Fourneau,https://fbref.com/en/matches/64bfcdac/Cesena-Venezia-September-3-2017-Serie-B,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018
2017-09-03,Cremonese,Avellino,3,1,NA,NA,6663,Davide Ghersini,https://fbref.com/en/matches/165e6be6/Cremonese-Avellino-September-3-2017-Serie-B,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2017-2018
2017-09-03,Perugia,Pescara,4,2,NA,NA,10993,Gianluca Aureliano,https://fbref.com/en/matches/324a3f71/Perugia-Pescara-September-3-2017-Serie-B,0,0,3,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,2017-2018
2017-09-03,Spezia,Carpi,0,1,NA,NA,5820,Niccolò Baroni,https://fbref.com/en/matches/544fd4ea/Spezia-Carpi-September-3-2017-Serie-B,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2017-2018
2017-09-03,Foggia,Virtus Entella,1,1,NA,NA,11906,Federico La Penna,https://fbref.com/en/matches/dcbfcda6/Foggia-Virtus-Entella-September-3-2017-Serie-B,0,0,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2017-2018
2017-09-03,Ascoli,Pro Vercelli,1,0,NA,NA,5365,Antonio Giua,https://fbref.com/en/matches/da324643/Ascoli-Pro-Vercelli-September-3-2017-Serie-B,1,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2017-2018
2017-09-03,Novara,Parma,0,1,NA,NA,4581,Daniele Martinelli,https://fbref.com/en/matches/340d293f/Novara-Parma-September-3-2017-Serie-B,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2017-2018
2017-09-04,Salernitana,Ternana,3,3,NA,NA,11579,Riccardo Ros,https://fbref.com/en/matches/a39e29ba/Salernitana-Ternana-September-4-2017-Serie-B,1,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2017-2018
2017-09-08,Pescara,Frosinone,3,3,NA,NA,9495,Juan Sacchi,https://fbref.com/en/matches/62d1729c/Pescara-Frosinone-September-8-2017-Serie-B,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2017-2018
2017-09-09,Spezia,Virtus Entella,2,1,NA,NA,5488,Marco Piccinini,https://fbref.com/en/matches/ce376725/Spezia-Virtus-Entella-September-9-2017-Serie-B,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2017-2018
2017-09-09,Ternana,Cesena,1,0,NA,NA,5076,Francesco Paolo Saia,https://fbref.com/en/matches/1b3610f8/Ternana-Cesena-September-9-2017-Serie-B,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2017-2018
2017-09-09,Ascoli,Novara,1,2,NA,NA,5376,Valerio Marini,https://fbref.com/en/matches/e42beba7/Ascoli-Novara-September-9-2017-Serie-B,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2017-2018
2017-09-09,Bari,Venezia,0,2,NA,NA,14302,Livio Marinelli,https://fbref.com/en/matches/347fbf1f/Bari-Venezia-September-9-2017-Serie-B,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2017-2018
2017-09-09,Palermo,Empoli,3,3,NA,NA,6270,Aleandro Di Paolo,https://fbref.com/en/matches/573520e5/Palermo-Empoli-September-9-2017-Serie-B,0,0,3,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,2017-2018
2017-09-09,Carpi,Salernitana,1,0,NA,NA,2580,Ivan Pezzuto,https://fbref.com/en/matches/4f06ec23/Carpi-Salernitana-September-9-2017-Serie-B,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2017-2018
2017-09-09,Pro Vercelli,Cremonese,1,4,NA,NA,2380,Luigi Pillitteri,https://fbref.com/en/matches/e7a07089/Pro-Vercelli-Cremonese-September-9-2017-Serie-B,1,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2017-2018
2017-09-09,Avellino,Foggia,5,1,NA,NA,9513,Riccardo Pinzani,https://fbref.com/en/matches/c06db6e2/Avellino-Foggia-September-9-2017-Serie-B,1,1,2,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,2017-2018
2017-09-10,Parma,Brescia,0,1,NA,NA,11541,Daniele Minelli,https://fbref.com/en/matches/99959a8d/Parma-Brescia-September-10-2017-Serie-B,0,0,3,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2017-2018
2017-09-11,Cittadella,Perugia,1,1,NA,NA,3323,Marco Serra,https://fbref.com/en/matches/bd814840/Cittadella-Perugia-September-11-2017-Serie-B,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2017-2018
2017-09-15,Venezia,Spezia,0,0,NA,NA,3218,Lorenzo Illuzzi,https://fbref.com/en/matches/acba8a63/Venezia-Spezia-September-15-2017-Serie-B,0,0,4,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2017-2018
2017-09-15,Cesena,Avellino,3,1,NA,NA,11393,Niccolò Baroni,https://fbref.com/en/matches/3ec75e11/Cesena-Avellino-September-15-2017-Serie-B,0,0,3,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,2017-2018
2017-09-16,Virtus Entella,Ternana,3,1,NA,NA,1794,Francesco Fourneau,https://fbref.com/en/matches/d57d5752/Virtus-Entella-Ternana-September-16-2017-Serie-B,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2017-2018
2017-09-16,Perugia,Parma,3,0,NA,NA,8690,Davide Ghersini,https://fbref.com/en/matches/8e4c6905/Perugia-Parma-September-16-2017-Serie-B,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2017-2018
2017-09-16,Frosinone,Bari,3,2,NA,NA,1732,Antonio Rapuano,https://fbref.com/en/matches/f1040cb8/Frosinone-Bari-September-16-2017-Serie-B,0,0,4,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,2017-2018
2017-09-16,Brescia,Pro Vercelli,0,0,NA,NA,6301,Antonio Di Martino,https://fbref.com/en/matches/a26c4463/Brescia-Pro-Vercelli-September-16-2017-Serie-B,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2017-2018
2017-09-16,Empoli,Ascoli,3,0,NA,NA,7429,Antonello Balice,https://fbref.com/en/matches/8033e5ce/Empoli-Ascoli-September-16-2017-Serie-B,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2017-2018
2017-09-16,Foggia,Palermo,1,1,NA,NA,11245,Daniele Chiffi,https://fbref.com/en/matches/9ffe824a/Foggia-Palermo-September-16-2017-Serie-B,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2017-2018
2017-09-16,Cremonese,Carpi,1,1,NA,NA,6282,Antonio Giua,https://fbref.com/en/matches/d91c93cc/Cremonese-Carpi-September-16-2017-Serie-B,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2017-2018
