date,home,away,home_score,away_score,home_xg,away_xg,attendance,referee,match_report_url,home_pk_goals,home_pk_attempts,home_yellow_cards,home_red_cards,home_shots,home_shots_on_target,home_tackles,home_interceptions,home_fouls_committed,away_pk_goals,away_pk_attempts,away_yellow_cards,away_red_cards,away_shots,away_shots_on_target,away_tackles,away_interceptions,away_fouls_committed,season
2017-07-22,Lausanne-Sport,St. Gallen,3,3,NA,NA,3415,Nikolaj Hänni,https://fbref.com/en/matches/06085a93/Lausanne-Sport-St-Gallen-July-22-2017-Super-League,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2017-2018
2017-07-22,Young Boys,Basel,2,0,NA,NA,31120,Stephan Klossner,https://fbref.com/en/matches/a0619944/Young-Boys-Basel-July-22-2017-Super-League,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2017-2018
2017-07-23,Luzern,Lugano,1,0,NA,NA,8553,Alain Bieri,https://fbref.com/en/matches/c0cf7446/Luzern-Lugano-July-23-2017-Super-League,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2017-2018
2017-07-23,Grasshopper,Zürich,0,2,NA,NA,20000,Adrien Jaccottet,https://fbref.com/en/matches/56385fdf/Grasshopper-Zurich-July-23-2017-Super-League,0,0,2,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,2017-2018
2017-07-23,Thun,Sion,0,1,NA,NA,5617,Sascha Amhof,https://fbref.com/en/matches/dfaed9a4/Thun-Sion-July-23-2017-Super-League,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2017-2018
2017-07-29,Grasshopper,Young Boys,0,4,NA,NA,6000,Urs Schnyder,https://fbref.com/en/matches/6150cc1c/Grasshopper-Young-Boys-July-29-2017-Super-League,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2017-2018
2017-07-30,Basel,Luzern,3,1,NA,NA,27416,Fedayi San,https://fbref.com/en/matches/bd909b8c/Basel-Luzern-July-30-2017-Super-League,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2017-2018
2017-07-30,Lausanne-Sport,Sion,0,1,NA,NA,5574,Pascal Erlachner,https://fbref.com/en/matches/e07c6978/Lausanne-Sport-Sion-July-30-2017-Super-League,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018
2017-07-30,Zürich,Thun,2,1,NA,NA,10191,Lionel Tschudi,https://fbref.com/en/matches/7756dfa7/Zurich-Thun-July-30-2017-Super-League,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2017-2018
2017-08-05,Thun,Basel,0,3,NA,NA,7227,Alain Bieri,https://fbref.com/en/matches/807c21c3/Thun-Basel-August-5-2017-Super-League,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2017-2018
2017-08-05,Lugano,Zürich,0,0,NA,NA,4510,Fedayi San,https://fbref.com/en/matches/e1c18e24/Lugano-Zurich-August-5-2017-Super-League,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2017-2018
2017-08-06,Luzern,Grasshopper,2,2,NA,NA,10168,Lionel Tschudi,https://fbref.com/en/matches/ccf99b51/Luzern-Grasshopper-August-6-2017-Super-League,0,0,3,1,0,0,0,0,0,0,0,5,2,0,0,0,0,0,2017-2018
2017-08-06,St. Gallen,Sion,2,0,NA,NA,11765,Stephan Klossner,https://fbref.com/en/matches/e81e3e38/St-Gallen-Sion-August-6-2017-Super-League,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018
2017-08-06,Young Boys,Lausanne-Sport,3,0,NA,NA,17264,Adrien Jaccottet,https://fbref.com/en/matches/194c2590/Young-Boys-Lausanne-Sport-August-6-2017-Super-League,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2017-2018
2017-08-09,Young Boys,Thun,0,4,NA,NA,16863,Sascha Amhof,https://fbref.com/en/matches/6947386e/Young-Boys-Thun-August-9-2017-Super-League,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2017-2018
2017-08-09,Lausanne-Sport,Lugano,2,3,NA,NA,3251,Stephan Klossner,https://fbref.com/en/matches/2d203daf/Lausanne-Sport-Lugano-August-9-2017-Super-League,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2017-2018
