date,home,away,home_score,away_score,home_xg,away_xg,attendance,referee,match_report_url,home_pk_goals,home_pk_attempts,home_yellow_cards,home_red_cards,home_shots,home_shots_on_target,home_tackles,home_interceptions,home_fouls_committed,away_pk_goals,away_pk_attempts,away_yellow_cards,away_red_cards,away_shots,away_shots_on_target,away_tackles,away_interceptions,away_fouls_committed,season
2016-07-23,Lugano,Luzern,1,2,NA,NA,4320,Sascha Amhof,https://fbref.com/en/matches/efebc82d/Lugano-Luzern-July-23-2016-Super-League,0,0,4,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,2016-2017
2016-07-23,St. Gallen,Young Boys,0,2,NA,NA,12890,Adrien Jaccottet,https://fbref.com/en/matches/e62e275a/St-Gallen-Young-Boys-July-23-2016-Super-League,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2016-2017
2016-07-24,Grasshopper,Lausanne-Sport,2,0,NA,NA,5500,Pascal Erlachner,https://fbref.com/en/matches/0cbd067e/Grasshopper-Lausanne-Sport-July-24-2016-Super-League,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2016-2017
2016-07-24,Thun,Vaduz,1,1,NA,NA,4521,Alain Bieri,https://fbref.com/en/matches/1b3f1e06/Thun-Vaduz-July-24-2016-Super-League,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016-2017
2016-07-24,Basel,Sion,3,0,NA,NA,27934,Stephan Klossner,https://fbref.com/en/matches/b997def9/Basel-Sion-July-24-2016-Super-League,1,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2016-2017
2016-07-30,Sion,St. Gallen,2,1,NA,NA,7800,Alain Bieri,https://fbref.com/en/matches/7e7efcb8/Sion-St-Gallen-July-30-2016-Super-League,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2016-2017
2016-07-30,Young Boys,Lugano,1,2,NA,NA,14300,Sandro Schärer,https://fbref.com/en/matches/c266baf5/Young-Boys-Lugano-July-30-2016-Super-League,1,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016-2017
2016-07-31,Lausanne-Sport,Thun,4,4,NA,NA,4020,Nikolaj Hänni,https://fbref.com/en/matches/9b02f8aa/Lausanne-Sport-Thun-July-31-2016-Super-League,0,0,2,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,2016-2017
2016-07-31,Vaduz,Basel,1,5,NA,NA,5680,Adrien Jaccottet,https://fbref.com/en/matches/4b73a037/Vaduz-Basel-July-31-2016-Super-League,0,0,2,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,2016-2017
2016-07-31,Luzern,Grasshopper,4,3,NA,NA,10594,Stephan Klossner,https://fbref.com/en/matches/b072a0e2/Luzern-Grasshopper-July-31-2016-Super-League,1,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2016-2017
2016-08-06,Young Boys,Thun,4,1,NA,NA,31120,Stephan Klossner,https://fbref.com/en/matches/21e9232b/Young-Boys-Thun-August-6-2016-Super-League,1,1,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2016-2017
2016-08-06,Sion,Lausanne-Sport,1,3,NA,NA,9800,Sandro Schärer,https://fbref.com/en/matches/8cac77aa/Sion-Lausanne-Sport-August-6-2016-Super-League,0,0,3,1,0,0,0,0,0,1,1,3,0,0,0,0,0,0,2016-2017
2016-08-07,Luzern,Basel,2,3,NA,NA,14486,Fedayi San,https://fbref.com/en/matches/78fba4c9/Luzern-Basel-August-7-2016-Super-League,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016-2017
2016-08-07,Lugano,Vaduz,0,2,NA,NA,3492,Nikolaj Hänni,https://fbref.com/en/matches/3131dd1f/Lugano-Vaduz-August-7-2016-Super-League,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016-2017
2016-08-07,St. Gallen,Grasshopper,2,1,NA,NA,12648,Sascha Amhof,https://fbref.com/en/matches/88746a20/St-Gallen-Grasshopper-August-7-2016-Super-League,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2016-2017
2016-08-10,Vaduz,Luzern,1,3,NA,NA,3811,Sascha Amhof,https://fbref.com/en/matches/261d967d/Vaduz-Luzern-August-10-2016-Super-League,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017
2016-08-10,Lugano,Sion,3,1,NA,NA,3272,Lukas Fähndrich,https://fbref.com/en/matches/74b8b090/Lugano-Sion-August-10-2016-Super-League,1,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2016-2017
2016-08-10,Basel,Young Boys,3,0,NA,NA,29523,Alain Bieri,https://fbref.com/en/matches/047d8c30/Basel-Young-Boys-August-10-2016-Super-League,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2016-2017
2016-08-11,Lausanne-Sport,St. Gallen,1,0,NA,NA,5029,Urs Schnyder,https://fbref.com/en/matches/21086d46/Lausanne-Sport-St-Gallen-August-11-2016-Super-League,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017
2016-08-11,Thun,Grasshopper,2,1,NA,NA,4639,Fedayi San,https://fbref.com/en/matches/c5da527b/Thun-Grasshopper-August-11-2016-Super-League,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2016-2017
2016-08-20,Young Boys,Lausanne-Sport,7,2,NA,NA,14665,Fedayi San,https://fbref.com/en/matches/1fce0089/Young-Boys-Lausanne-Sport-August-20-2016-Super-League,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2016-2017
2016-08-20,Basel,Lugano,4,1,NA,NA,26012,Pascal Erlachner,https://fbref.com/en/matches/a3808886/Basel-Lugano-August-20-2016-Super-League,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016-2017
2016-08-21,Grasshopper,Sion,2,1,NA,NA,4800,Sandro Schärer,https://fbref.com/en/matches/4dd72bb3/Grasshopper-Sion-August-21-2016-Super-League,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2016-2017
2016-08-21,Luzern,Thun,3,0,NA,NA,9905,Adrien Jaccottet,https://fbref.com/en/matches/6410910e/Luzern-Thun-August-21-2016-Super-League,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2016-2017
2016-08-21,Vaduz,St. Gallen,2,0,NA,NA,5787,Sébastien Pache,https://fbref.com/en/matches/e739cbe0/Vaduz-St-Gallen-August-21-2016-Super-League,1,1,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2016-2017
2016-08-27,Lugano,Lausanne-Sport,1,1,NA,NA,3350,Alain Bieri,https://fbref.com/en/matches/5622fba3/Lugano-Lausanne-Sport-August-27-2016-Super-League,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2016-2017
