date,home,away,home_score,away_score,home_xg,away_xg,attendance,referee,match_report_url,home_pk_goals,home_pk_attempts,home_yellow_cards,home_red_cards,home_shots,home_shots_on_target,home_tackles,home_interceptions,home_fouls_committed,away_pk_goals,away_pk_attempts,away_yellow_cards,away_red_cards,away_shots,away_shots_on_target,away_tackles,away_interceptions,away_fouls_committed,season
2015-07-18,Luzern,Sion,2,2,NA,NA,10116,Stephan Klossner,https://fbref.com/en/matches/cdd6b0e8/Luzern-Sion-July-18-2015-Super-League,0,0,2,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,2015-2016
2015-07-18,Zürich,Young Boys,1,1,NA,NA,8894,Adrien Jaccottet,https://fbref.com/en/matches/9c57ae4a/Zurich-Young-Boys-July-18-2015-Super-League,0,0,3,0,NA,NA,NA,NA,NA,0,0,3,0,NA,NA,NA,NA,NA,2015-2016
2015-07-19,Basel,Vaduz,2,0,NA,NA,27066,Sandro Schärer,https://fbref.com/en/matches/bc9bd654/Basel-Vaduz-July-19-2015-Super-League,1,1,2,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,2015-2016
2015-07-19,Thun,Grasshopper,3,5,NA,NA,6011,Sascha Amhof,https://fbref.com/en/matches/cab36e20/Thun-Grasshopper-July-19-2015-Super-League,0,0,2,0,NA,NA,NA,NA,NA,1,1,6,0,NA,NA,NA,NA,NA,2015-2016
2015-07-19,St. Gallen,Lugano,2,0,NA,NA,12162,Alain Bieri,https://fbref.com/en/matches/d26749a8/St-Gallen-Lugano-July-19-2015-Super-League,0,0,1,0,NA,NA,NA,NA,NA,0,0,5,1,NA,NA,NA,NA,NA,2015-2016
2015-07-25,Young Boys,Luzern,1,1,NA,NA,16865,Nikolaj Hänni,https://fbref.com/en/matches/ab62e978/Young-Boys-Luzern-July-25-2015-Super-League,0,0,4,1,NA,NA,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,NA,2015-2016
2015-07-25,Grasshopper,Basel,2,3,NA,NA,9600,Alain Bieri,https://fbref.com/en/matches/57033f27/Grasshopper-Basel-July-25-2015-Super-League,0,0,1,0,NA,NA,NA,NA,NA,0,0,4,0,NA,NA,NA,NA,NA,2015-2016
2015-07-26,Sion,St. Gallen,1,0,NA,NA,9000,Sébastien Pache,https://fbref.com/en/matches/15c822ee/Sion-St-Gallen-July-26-2015-Super-League,1,1,3,1,NA,NA,NA,NA,NA,0,0,5,0,NA,NA,NA,NA,NA,2015-2016
2015-07-26,Lugano,Thun,2,3,NA,NA,4732,Fedayi San,https://fbref.com/en/matches/0e69e0ca/Lugano-Thun-July-26-2015-Super-League,2,2,3,0,NA,NA,NA,NA,NA,0,0,4,0,NA,NA,NA,NA,NA,2015-2016
2015-07-26,Vaduz,Zürich,2,2,NA,NA,4214,Stephan Klossner,https://fbref.com/en/matches/f3b36503/Vaduz-Zurich-July-26-2015-Super-League,0,0,3,0,NA,NA,NA,NA,NA,1,1,5,1,NA,NA,NA,NA,NA,2015-2016
