date,home,away,home_score,away_score,home_xg,away_xg,attendance,referee,match_report_url,home_pk_goals,home_pk_attempts,home_yellow_cards,home_red_cards,home_shots,home_shots_on_target,home_tackles,home_interceptions,home_fouls_committed,away_pk_goals,away_pk_attempts,away_yellow_cards,away_red_cards,away_shots,away_shots_on_target,away_tackles,away_interceptions,away_fouls_committed,season
2018-08-10,Ankaragücü,Galatasaray,1,3,NA,NA,0,Umit Öztürk,https://fbref.com/en/matches/7a3f8dbc/Ankaragucu-Galatasaray-August-10-2018-Super-Lig,0,0,2,0,6,1,13,11,14,0,0,2,0,15,4,12,16,12,2018-2019
2018-08-11,Sivasspor,Alanyaspor,1,0,NA,NA,0,Arda Kardeşler,https://fbref.com/en/matches/f0ed9044/Sivasspor-Alanyaspor-August-11-2018-Super-Lig,0,0,1,0,16,5,16,14,12,0,0,3,0,10,2,18,6,16,2018-2019
2018-08-11,Rizespor,Kasımpaşa,2,3,NA,NA,0,Cüneyt Çakιr,https://fbref.com/en/matches/5c5d450c/Rizespor-Kasimpasa-August-11-2018-Super-Lig,0,0,2,0,11,6,14,5,13,1,1,1,0,18,6,8,11,14,2018-2019
2018-08-11,Fenerbahçe,Bursaspor,2,1,NA,NA,0,Halil Meler,https://fbref.com/en/matches/b7fc4a00/Fenerbahce-Bursaspor-August-11-2018-Super-Lig,1,1,3,0,11,3,13,3,13,0,0,3,0,10,3,15,12,16,2018-2019
2018-08-12,Başakşehir,Trabzonspor,2,0,NA,NA,0,Fırat Aydınus,https://fbref.com/en/matches/96cdde49/Istanbul-Basaksehir-Trabzonspor-August-12-2018-Super-Lig,0,0,2,0,17,5,15,6,17,0,0,2,0,10,0,9,11,15,2018-2019
2018-08-12,Konyaspor,BB Erzurumspor,3,2,NA,NA,0,Suat Arslanboga,https://fbref.com/en/matches/baec7952/Konyaspor-BB-Erzurumspor-August-12-2018-Super-Lig,0,1,1,0,17,7,10,12,13,0,0,2,0,10,4,11,8,17,2018-2019
2018-08-12,Beşiktaş,Akhisarspor,2,1,NA,NA,0,Bülent Yıldırım,https://fbref.com/en/matches/1eea3c97/Besiktas-Akhisar-Belediyespor-August-12-2018-Super-Lig,0,0,3,0,25,3,20,5,17,0,0,6,0,9,3,12,18,15,2018-2019
2018-08-12,Göztepe,Yeni Mal'spor,1,3,NA,NA,0,Özgür Yankaya,https://fbref.com/en/matches/328e2114/Goztepe-Yeni-Malatyaspor-August-12-2018-Super-Lig,0,0,3,2,11,3,9,10,11,0,0,4,1,7,4,12,7,11,2018-2019
2018-08-13,Kayserispor,Antalyaspor,2,0,NA,NA,0,Hüseyin Göçek,https://fbref.com/en/matches/0aa2c90e/Kayserispor-Antalyaspor-August-13-2018-Super-Lig,0,0,0,0,9,5,10,11,13,0,0,1,1,6,1,9,10,8,2018-2019
2018-08-17,Trabzonspor,Sivasspor,3,1,NA,NA,0,Yaşar Kemal Uğurlu,https://fbref.com/en/matches/d42e89bb/Trabzonspor-Sivasspor-August-17-2018-Super-Lig,1,1,1,0,10,8,16,7,12,0,0,4,0,12,3,6,8,19,2018-2019
2018-08-18,Bursaspor,Kayserispor,0,0,NA,NA,0,Mete Kalkavan,https://fbref.com/en/matches/26ca5230/Bursaspor-Kayserispor-August-18-2018-Super-Lig,0,0,2,0,9,2,13,10,11,0,0,2,0,4,0,7,18,12,2018-2019
2018-08-18,Yeni Mal'spor,Fenerbahçe,1,0,NA,NA,0,Fırat Aydınus,https://fbref.com/en/matches/e2cf386d/Yeni-Malatyaspor-Fenerbahce-August-18-2018-Super-Lig,0,0,2,0,14,2,15,10,14,0,0,0,0,13,4,10,3,9,2018-2019
2018-08-18,Antalyaspor,Konyaspor,3,3,NA,NA,0,Alper Ulusoy,https://fbref.com/en/matches/0858411f/Antalyaspor-Konyaspor-August-18-2018-Super-Lig,0,0,1,0,12,9,8,7,17,0,0,4,1,10,4,7,10,19,2018-2019
2018-08-19,BB Erzurumspor,Beşiktaş,1,3,NA,NA,0,Umit Öztürk,https://fbref.com/en/matches/b21f742c/BB-Erzurumspor-Besiktas-August-19-2018-Super-Lig,0,0,0,0,11,3,13,19,14,1,1,3,0,11,6,9,14,7,2018-2019
2018-08-19,Akhisarspor,Rizespor,1,1,NA,NA,0,Serkan Çınar,https://fbref.com/en/matches/fe523397/Akhisar-Belediyespor-Rizespor-August-19-2018-Super-Lig,0,0,0,1,8,3,11,6,19,0,0,1,0,24,10,19,10,14,2018-2019
2018-08-19,Alanyaspor,Ankaragücü,0,2,NA,NA,0,Ali Şansalan,https://fbref.com/en/matches/bfbb2f60/Alanyaspor-Ankaragucu-August-19-2018-Super-Lig,0,0,3,1,19,5,14,11,19,0,0,5,1,5,4,10,10,15,2018-2019
2018-08-19,Galatasaray,Göztepe,1,0,NA,NA,0,Ali Palabıyık,https://fbref.com/en/matches/83973120/Galatasaray-Goztepe-August-19-2018-Super-Lig,0,0,4,0,11,5,10,12,13,0,0,2,0,9,3,12,17,15,2018-2019
2018-08-20,Kasımpaşa,Başakşehir,2,1,NA,NA,0,Halis Özkahya,https://fbref.com/en/matches/3be81e0f/Kasimpasa-Istanbul-Basaksehir-August-20-2018-Super-Lig,1,1,0,0,13,3,11,12,18,0,0,3,0,15,5,9,8,16,2018-2019
2018-08-24,Rizespor,BB Erzurumspor,0,0,NA,NA,0,Yaşar Kemal Uğurlu,https://fbref.com/en/matches/03dcabbb/Rizespor-BB-Erzurumspor-August-24-2018-Super-Lig,0,0,1,0,9,2,11,11,9,0,0,1,0,11,3,15,5,20,2018-2019
2018-08-25,Ankaragücü,Trabzonspor,2,2,NA,NA,9627,Mete Kalkavan,https://fbref.com/en/matches/1820b326/Ankaragucu-Trabzonspor-August-25-2018-Super-Lig,0,0,2,0,15,6,10,12,10,0,0,2,0,9,7,12,11,13,2018-2019
2018-08-25,Göztepe,Fenerbahçe,1,0,NA,NA,0,Cüneyt Çakιr,https://fbref.com/en/matches/56f63473/Goztepe-Fenerbahce-August-25-2018-Super-Lig,0,0,2,0,5,1,7,12,16,0,0,1,0,9,1,10,13,16,2018-2019
2018-08-25,Kayserispor,Yeni Mal'spor,0,0,NA,NA,0,Alper Ulusoy,https://fbref.com/en/matches/cf30c6fd/Kayserispor-Yeni-Malatyaspor-August-25-2018-Super-Lig,0,0,2,0,13,5,10,8,15,0,0,1,0,7,3,12,11,13,2018-2019
