date,home,away,home_score,away_score,home_xg,away_xg,attendance,referee,match_report_url,home_pk_goals,home_pk_attempts,home_yellow_cards,home_red_cards,home_shots,home_shots_on_target,home_tackles,home_interceptions,home_fouls_committed,away_pk_goals,away_pk_attempts,away_yellow_cards,away_red_cards,away_shots,away_shots_on_target,away_tackles,away_interceptions,away_fouls_committed,season
2019-08-16,Denizlispor,Galatasaray,2,0,NA,NA,13666,Abdulkadir Bitigen,https://fbref.com/en/matches/bcbb9429/Denizlispor-Galatasaray-August-16-2019-Super-Lig,0,0,4,0,15,5,21,4,12,0,1,5,1,7,4,8,9,9,2019-2020
2019-08-17,Gençlerbirliği,Rizespor,0,1,NA,NA,0,Bahattin Şimşek,https://fbref.com/en/matches/b43cde3e/Genclerbirligi-Rizespor-August-17-2019-Super-Lig,0,0,4,1,8,1,7,10,16,0,0,2,0,11,5,9,11,14,2019-2020
2019-08-17,Sivasspor,Beşiktaş,3,0,NA,NA,0,Mustafa Ogretmenoglu,https://fbref.com/en/matches/c4416239/Sivasspor-Besiktas-August-17-2019-Super-Lig,0,0,4,0,13,8,11,15,15,0,0,3,0,13,3,4,13,9,2019-2020
2019-08-17,Kayserispor,Alanyaspor,0,1,NA,NA,0,Tugay Kaan Numanoğlu,https://fbref.com/en/matches/40f1b16a/Kayserispor-Alanyaspor-August-17-2019-Super-Lig,0,0,4,0,6,3,11,6,13,0,0,1,0,14,7,11,10,10,2019-2020
2019-08-18,Konyaspor,Ankaragücü,0,0,NA,NA,0,Bülent Birincioğlu,https://fbref.com/en/matches/cd11b2d6/Konyaspor-Ankaragucu-August-18-2019-Super-Lig,0,0,0,0,23,4,8,12,7,0,0,2,0,9,1,14,6,14,2019-2020
2019-08-18,Kasımpaşa,Trabzonspor,1,1,NA,NA,0,Cüneyt Çakιr,https://fbref.com/en/matches/c2923368/Kasimpasa-Trabzonspor-August-18-2019-Super-Lig,0,0,2,0,15,7,11,11,14,0,0,0,0,17,2,10,6,17,2019-2020
2019-08-18,Yeni Mal'spor,Başakşehir,3,0,NA,NA,0,Hüseyin Göçek,https://fbref.com/en/matches/721d6ef1/Yeni-Malatyaspor-Istanbul-Basaksehir-August-18-2019-Super-Lig,0,0,3,0,9,5,11,7,11,0,0,2,1,15,4,9,14,15,2019-2020
2019-08-18,Göztepe,Antalyaspor,0,1,NA,NA,0,Zorbay Küçük,https://fbref.com/en/matches/5fe63329/Goztepe-Antalyaspor-August-18-2019-Super-Lig,0,0,3,0,7,1,16,7,15,0,0,2,0,10,3,6,14,13,2019-2020
2019-08-19,Fenerbahçe,Gaziantep FK,5,0,NA,NA,0,Arda Kardeşler,https://fbref.com/en/matches/fac0007f/Fenerbahce-Gaziantep-FK-August-19-2019-Super-Lig,2,3,1,0,19,9,12,9,14,0,0,4,0,4,0,3,14,18,2019-2020
2019-08-23,Beşiktaş,Göztepe,3,0,NA,NA,0,Ali Palabıyık,https://fbref.com/en/matches/3f87c3ea/Besiktas-Goztepe-August-23-2019-Super-Lig,0,0,1,0,8,4,8,12,19,0,0,1,0,12,3,9,8,9,2019-2020
2019-08-24,Ankaragücü,Kayserispor,1,1,NA,NA,0,Ali Şansalan,https://fbref.com/en/matches/56810df7/Ankaragucu-Kayserispor-August-24-2019-Super-Lig,0,0,3,0,15,5,12,5,18,0,0,1,0,15,5,8,4,9,2019-2020
2019-08-24,Alanyaspor,Kasımpaşa,4,1,NA,NA,0,Serkan Tokat,https://fbref.com/en/matches/22ce922a/Alanyaspor-Kasimpasa-August-24-2019-Super-Lig,0,0,4,0,18,8,6,9,13,0,0,4,0,6,1,9,10,11,2019-2020
2019-08-24,Başakşehir,Fenerbahçe,1,2,NA,NA,0,Halil Meler,https://fbref.com/en/matches/6f5ac736/Istanbul-Basaksehir-Fenerbahce-August-24-2019-Super-Lig,0,0,0,0,12,4,6,6,11,0,0,0,0,13,3,8,3,10,2019-2020
2019-08-25,Rizespor,Sivasspor,2,1,NA,NA,0,Fırat Aydınus,https://fbref.com/en/matches/177ff893/Rizespor-Sivasspor-August-25-2019-Super-Lig,1,1,2,0,11,5,7,9,15,0,0,2,0,15,2,9,9,11,2019-2020
2019-08-25,Trabzonspor,Yeni Mal'spor,2,1,NA,NA,0,Koray Gençerler,https://fbref.com/en/matches/aeea6ac9/Trabzonspor-Yeni-Malatyaspor-August-25-2019-Super-Lig,0,0,1,0,16,5,12,8,5,0,0,2,0,13,2,14,9,13,2019-2020
2019-08-25,Antalyaspor,Denizlispor,0,2,NA,NA,0,Volkan Bayarslan,https://fbref.com/en/matches/17b1248e/Antalyaspor-Denizlispor-August-25-2019-Super-Lig,0,1,1,0,19,3,6,12,13,0,0,3,0,8,2,5,8,14,2019-2020
2019-08-25,Galatasaray,Konyaspor,1,1,NA,NA,0,Mete Kalkavan,https://fbref.com/en/matches/582f186c/Galatasaray-Konyaspor-August-25-2019-Super-Lig,0,0,1,1,18,6,5,8,8,0,0,3,0,16,4,10,13,11,2019-2020
2019-08-26,Gaziantep FK,Gençlerbirliği,4,1,NA,NA,0,Atilla Karaoğlan,https://fbref.com/en/matches/52a32925/Gaziantep-FK-Genclerbirligi-August-26-2019-Super-Lig,1,1,1,0,15,7,15,16,17,0,0,1,2,12,4,14,14,8,2019-2020
