date,home,away,home_score,away_score,home_xg,away_xg,attendance,referee,match_report_url,home_pk_goals,home_pk_attempts,home_yellow_cards,home_red_cards,home_shots,home_shots_on_target,home_tackles,home_interceptions,home_fouls_committed,away_pk_goals,away_pk_attempts,away_yellow_cards,away_red_cards,away_shots,away_shots_on_target,away_tackles,away_interceptions,away_fouls_committed,Player,#,Nation,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,season
2017-08-19,Bursaspor,Alanyaspor,3,2,NA,NA,0,Serkan Tokat,https://fbref.com/en/matches/110e0dc1/Bursaspor-Alanyaspor-August-19-2017-Super-Lig,1,1,1,0,11,5,14,10,16,0,0,2,0,14,5,5,14,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-2018
2017-08-19,Osmanlıspor,Galatasaray,1,3,NA,NA,6704,Halil Meler,https://fbref.com/en/matches/56a1e2e8/Osmanlispor-Galatasaray-August-19-2017-Super-Lig,0,0,2,0,12,4,10,17,16,0,0,2,0,11,6,10,8,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-2018
2017-08-19,Sivasspor,Malatyaspor,2,0,NA,NA,0,Serkan Çınar,https://fbref.com/en/matches/74bac8b8/Sivasspor-Malatyaspor-August-19-2017-Super-Lig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arouna KonÃ©,2,ci CIV,FW,87,1,0,0,0,2,1,1,0,2,0,0,0,0,0,0,0,0,2017-2018
2017-08-19,Sivasspor,Malatyaspor,2,0,NA,NA,0,Serkan Çınar,https://fbref.com/en/matches/74bac8b8/Sivasspor-Malatyaspor-August-19-2017-Super-Lig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Muhammet Demir,9,tr TUR,FW,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2017-2018
2017-08-19,Sivasspor,Malatyaspor,2,0,NA,NA,0,Serkan Çınar,https://fbref.com/en/matches/74bac8b8/Sivasspor-Malatyaspor-August-19-2017-Super-Lig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Emre KÄ±lÄ±nÃ§,54,tr TUR,AM,90,0,0,0,0,4,0,0,0,4,2,0,8,1,0,0,0,0,2017-2018
2017-08-19,Sivasspor,Malatyaspor,2,0,NA,NA,0,Serkan Çınar,https://fbref.com/en/matches/74bac8b8/Sivasspor-Malatyaspor-August-19-2017-Super-Lig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hakan Arslan,37,tr TUR,AM,90,0,0,0,0,0,0,0,0,2,1,0,0,1,1,0,0,0,2017-2018
2017-08-19,Sivasspor,Malatyaspor,2,0,NA,NA,0,Serkan Çınar,https://fbref.com/en/matches/74bac8b8/Sivasspor-Malatyaspor-August-19-2017-Super-Lig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cyriac,90,ci CIV,AM,90,0,0,0,0,0,0,0,0,1,2,0,1,2,0,0,0,0,2017-2018
2017-08-19,Sivasspor,Malatyaspor,2,0,NA,NA,0,Serkan Çınar,https://fbref.com/en/matches/74bac8b8/Sivasspor-Malatyaspor-August-19-2017-Super-Lig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Auremir,18,br BRA,DM,64,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2017-2018
2017-08-19,Sivasspor,Malatyaspor,2,0,NA,NA,0,Serkan Çınar,https://fbref.com/en/matches/74bac8b8/Sivasspor-Malatyaspor-August-19-2017-Super-Lig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galip GÃ¼zel,5,tr TUR,"DF,MF",26,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2017-2018
2017-08-19,Sivasspor,Malatyaspor,2,0,NA,NA,0,Serkan Çınar,https://fbref.com/en/matches/74bac8b8/Sivasspor-Malatyaspor-August-19-2017-Super-Lig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mert YandaÅŸ,8,tr TUR,DM,59,0,0,0,0,0,0,0,0,3,5,0,1,1,0,0,0,0,2017-2018
