date,home,away,home_score,away_score,home_xg,away_xg,attendance,referee,match_report_url,home_pk_goals,home_pk_attempts,home_yellow_cards,home_red_cards,home_shots,home_shots_on_target,home_tackles,home_interceptions,home_fouls_committed,away_pk_goals,away_pk_attempts,away_yellow_cards,away_red_cards,away_shots,away_shots_on_target,away_tackles,away_interceptions,away_fouls_committed,season
2017-08-06,Aves,Sporting CP,0,2,NA,NA,5462,Tiago Martins,https://fbref.com/en/matches/a33b1687/Aves-Sporting-CP-August-6-2017-Primeira-Liga,0,0,1,0,13,2,15,17,15,0,0,0,0,10,7,13,11,16,2017-2018
2017-08-06,Vitória Setúbal,Moreirense,1,1,NA,NA,1736,Gonçalo Martins,https://fbref.com/en/matches/41eef2fd/Vitoria-Setubal-Moreirense-August-6-2017-Primeira-Liga,0,0,1,1,7,3,13,4,19,0,0,3,0,12,4,11,9,22,2017-2018
2017-08-07,Portimonense,Boavista,2,1,NA,NA,2970,Nuno Almeida,https://fbref.com/en/matches/4bbc86b5/Portimonense-Boavista-August-7-2017-Primeira-Liga,0,0,1,0,14,4,9,14,13,0,0,1,0,7,1,3,23,11,2017-2018
2017-08-07,Feirense,Tondela,1,1,NA,NA,3277,Bruno Duarte Paixão,https://fbref.com/en/matches/e4be1ab6/Feirense-Tondela-August-7-2017-Primeira-Liga,0,0,4,0,12,5,14,26,21,0,0,1,0,12,4,9,21,24,2017-2018
2017-08-07,Rio Ave,Belenenses,1,0,NA,NA,2539,Fábio Costa,https://fbref.com/en/matches/c1d744a0/Rio-Ave-Belenenses-August-7-2017-Primeira-Liga,0,0,2,0,11,4,11,13,17,0,0,2,0,12,2,14,16,24,2017-2018
2017-08-08,Marítimo,Paços,1,0,NA,NA,9237,Manuel Oliveira,https://fbref.com/en/matches/3ef3e492/Maritimo-Pacos-de-Ferreira-August-8-2017-Primeira-Liga,0,0,2,0,9,2,13,21,14,0,0,2,0,6,2,8,14,12,2017-2018
2017-08-09,Porto,Estoril,4,0,NA,NA,48011,Hugo Miguel,https://fbref.com/en/matches/31c65010/Porto-Estoril-August-9-2017-Primeira-Liga,0,0,1,0,19,8,15,11,18,0,0,1,0,11,3,15,11,12,2017-2018
2017-08-09,Benfica,Braga,3,1,NA,NA,58826,Carlos Taborda Xistra,https://fbref.com/en/matches/5db1cf13/Benfica-Braga-August-9-2017-Primeira-Liga,0,0,2,0,16,9,11,17,13,0,0,3,0,8,1,16,10,18,2017-2018
2017-08-10,Vitória,Chaves,3,2,NA,NA,19753,Luís Godinho,https://fbref.com/en/matches/3ff4a712/Vitoria-Guimaraes-Chaves-August-10-2017-Primeira-Liga,0,0,1,0,16,7,19,17,21,0,0,4,0,14,3,10,14,14,2017-2018
2017-08-11,Sporting CP,Vitória Setúbal,1,0,NA,NA,42415,Bruno Duarte Paixão,https://fbref.com/en/matches/43e0f0b2/Sporting-CP-Vitoria-Setubal-August-11-2017-Primeira-Liga,1,1,1,0,18,5,11,7,16,0,0,2,0,4,0,15,20,23,2017-2018
