date,home,away,home_score,away_score,home_xg,away_xg,attendance,referee,match_report_url,home_pk_goals,home_pk_attempts,home_yellow_cards,home_red_cards,home_shots,home_shots_on_target,home_tackles,home_interceptions,home_fouls_committed,away_pk_goals,away_pk_attempts,away_yellow_cards,away_red_cards,away_shots,away_shots_on_target,away_tackles,away_interceptions,away_fouls_committed,season
2019-08-09,Portimonense,Belenenses,0,0,NA,NA,3486,Manuel Mota,https://fbref.com/en/matches/9f495880/Portimonense-Belenenses-August-9-2019-Primeira-Liga,0,0,1,0,16,5,11,13,19,0,0,1,0,8,2,14,20,15,2019-2020
2019-08-10,Santa Clara,Famalicão,0,2,NA,NA,1659,Rui Oliveira,https://fbref.com/en/matches/d24459de/Santa-Clara-Famalicao-August-10-2019-Primeira-Liga,0,0,0,0,22,6,11,12,15,0,0,3,0,13,6,14,7,22,2019-2020
2019-08-10,Gil Vicente FC,Porto,2,1,NA,NA,10962,Nuno Almeida,https://fbref.com/en/matches/814e0025/Gil-Vicente-FC-Porto-August-10-2019-Primeira-Liga,0,0,3,0,13,7,15,15,15,1,1,3,0,16,5,10,5,19,2019-2020
2019-08-10,Benfica,Paços,5,0,NA,NA,62956,Manuel Oliveira,https://fbref.com/en/matches/bd719c2a/Benfica-Pacos-de-Ferreira-August-10-2019-Primeira-Liga,1,1,0,0,15,7,9,11,15,0,0,4,1,7,0,8,14,11,2019-2020
2019-08-11,Boavista,Aves,2,1,NA,NA,6010,Hélder Malheiro,https://fbref.com/en/matches/23be1c77/Boavista-Aves-August-11-2019-Primeira-Liga,1,1,5,0,8,3,8,7,27,0,0,3,0,17,2,7,8,20,2019-2020
2019-08-11,Marítimo,Sporting CP,1,1,NA,NA,9673,Tiago Martins,https://fbref.com/en/matches/123c394f/Maritimo-Sporting-CP-August-11-2019-Primeira-Liga,0,0,4,0,10,3,6,5,14,0,0,4,0,17,2,11,1,14,2019-2020
2019-08-11,Braga,Moreirense,3,1,NA,NA,13223,Fábio Costa,https://fbref.com/en/matches/8d23a8e9/Braga-Moreirense-August-11-2019-Primeira-Liga,0,0,2,0,19,9,9,7,15,0,0,2,0,11,4,11,13,10,2019-2020
2019-08-12,Vitória Setúbal,Tondela,0,0,NA,NA,3795,Vitor Ferreira Fernandes,https://fbref.com/en/matches/c5d45065/Vitoria-Setubal-Tondela-August-12-2019-Primeira-Liga,0,0,7,1,7,4,13,14,23,0,0,2,0,7,2,7,1,18,2019-2020
2019-08-16,Famalicão,Rio Ave,1,0,NA,NA,4960,Rui Costa,https://fbref.com/en/matches/25f0f9e8/Famalicao-Rio-Ave-August-16-2019-Primeira-Liga,0,0,3,0,16,4,8,6,16,0,1,5,1,13,1,5,13,16,2019-2020
2019-08-17,Moreirense,Gil Vicente FC,3,0,NA,NA,1792,Manuel Oliveira,https://fbref.com/en/matches/8e8398a8/Moreirense-Gil-Vicente-FC-August-17-2019-Primeira-Liga,0,0,0,0,12,4,11,19,17,0,0,3,0,16,2,12,14,16,2019-2020
2019-08-17,Belenenses,Benfica,0,2,NA,NA,17821,Fábio Costa,https://fbref.com/en/matches/56fb9ca9/Belenenses-Benfica-August-17-2019-Primeira-Liga,0,0,7,0,7,1,15,13,11,0,0,1,0,21,5,8,17,10,2019-2020
2019-08-17,Porto,Vitória Setúbal,4,0,NA,NA,38820,Manuel Mota,https://fbref.com/en/matches/e991a703/Porto-Vitoria-Setubal-August-17-2019-Primeira-Liga,0,0,0,0,23,10,14,5,17,0,0,2,0,6,5,9,12,15,2019-2020
2019-08-18,Paços,Santa Clara,0,1,NA,NA,3153,André Narciso,https://fbref.com/en/matches/331cc413/Pacos-de-Ferreira-Santa-Clara-August-18-2019-Primeira-Liga,0,0,3,0,19,3,3,5,24,0,0,1,0,6,3,4,12,19,2019-2020
2019-08-18,Aves,Marítimo,3,1,NA,NA,1511,Jorge de Sousa,https://fbref.com/en/matches/61698767/Aves-Maritimo-August-18-2019-Primeira-Liga,1,1,2,0,11,4,13,15,25,0,0,4,0,10,1,6,8,14,2019-2020
2019-08-18,Vitória,Boavista,1,1,NA,NA,16765,Artur Soares Dias,https://fbref.com/en/matches/e978927c/Vitoria-Guimaraes-Boavista-August-18-2019-Primeira-Liga,0,0,2,0,17,4,8,11,16,0,0,4,0,5,2,15,15,14,2019-2020
2019-08-18,Sporting CP,Braga,2,1,NA,NA,35692,Luís Godinho,https://fbref.com/en/matches/f6156e2a/Sporting-CP-Braga-August-18-2019-Primeira-Liga,0,0,3,0,11,6,16,12,14,0,0,5,0,21,7,14,7,16,2019-2020
2019-08-19,Tondela,Portimonense,1,2,NA,NA,2955,Hugo Miguel,https://fbref.com/en/matches/dc1cb25f/Tondela-Portimonense-August-19-2019-Primeira-Liga,0,0,1,0,8,3,10,7,11,0,0,1,0,14,6,7,11,15,2019-2020
2019-08-23,Vitória Setúbal,Moreirense,0,0,NA,NA,3787,Iancu Vasilica,https://fbref.com/en/matches/fada5071/Vitoria-Setubal-Moreirense-August-23-2019-Primeira-Liga,0,0,3,0,18,1,7,14,18,0,0,1,0,5,2,7,9,26,2019-2020
2019-08-23,Rio Ave,Aves,5,1,NA,NA,2485,Fábio Costa,https://fbref.com/en/matches/0dac8154/Rio-Ave-Aves-August-23-2019-Primeira-Liga,1,1,0,0,17,9,10,9,17,0,0,3,0,7,1,11,11,15,2019-2020
2019-08-24,Benfica,Porto,0,2,NA,NA,62735,Jorge de Sousa,https://fbref.com/en/matches/86b0ab90/Benfica-Porto-August-24-2019-Primeira-Liga,0,0,2,0,6,1,28,5,15,0,0,5,0,11,5,18,17,12,2019-2020
2019-08-24,Boavista,Paços,1,1,NA,NA,6391,Manuel Mota,https://fbref.com/en/matches/7280ebbe/Boavista-Pacos-de-Ferreira-August-24-2019-Primeira-Liga,0,0,5,0,15,2,10,6,17,1,1,2,0,14,5,16,8,17,2019-2020
2019-08-25,Santa Clara,Belenenses,0,0,NA,NA,3525,João Pinheiro,https://fbref.com/en/matches/8f47d4d2/Santa-Clara-Belenenses-August-25-2019-Primeira-Liga,0,0,2,0,15,3,1,11,9,0,0,1,0,6,1,12,6,13,2019-2020
2019-08-25,Marítimo,Tondela,2,3,NA,NA,5568,André Narciso,https://fbref.com/en/matches/0ef43cb6/Maritimo-Tondela-August-25-2019-Primeira-Liga,0,0,2,0,15,5,5,14,10,2,2,5,0,10,7,8,16,13,2019-2020
2019-08-25,Portimonense,Sporting CP,1,3,NA,NA,5634,Carlos Xistra,https://fbref.com/en/matches/bcfa9dea/Portimonense-Sporting-CP-August-25-2019-Primeira-Liga,1,1,1,0,16,2,13,20,18,0,0,0,0,11,6,9,9,13,2019-2020
2019-08-25,Gil Vicente FC,Braga,1,1,NA,NA,6769,Hugo Miguel,https://fbref.com/en/matches/855efc05/Gil-Vicente-FC-Braga-August-25-2019-Primeira-Liga,0,0,2,0,15,6,6,13,13,0,0,2,0,8,4,8,6,13,2019-2020
2019-08-25,Vitória,Famalicão,1,1,NA,NA,16225,Manuel Oliveira,https://fbref.com/en/matches/b62b3928/Vitoria-Guimaraes-Famalicao-August-25-2019-Primeira-Liga,0,0,4,0,18,4,12,17,16,0,0,1,0,15,3,17,7,12,2019-2020
2019-08-30,Moreirense,Portimonense,1,0,NA,NA,1432,Gustavo Correia,https://fbref.com/en/matches/aefd56a8/Moreirense-Portimonense-August-30-2019-Primeira-Liga,0,0,2,0,9,3,12,14,20,0,0,5,1,10,2,8,7,22,2019-2020
2019-08-30,Belenenses,Boavista,0,1,NA,NA,1213,Hugo Miguel,https://fbref.com/en/matches/8e77064f/Belenenses-Boavista-August-30-2019-Primeira-Liga,0,0,3,1,9,3,5,6,17,0,0,4,0,12,7,12,6,20,2019-2020
2019-08-31,Paços,Marítimo,0,1,NA,NA,1714,Rui Oliveira,https://fbref.com/en/matches/2fe3c153/Pacos-de-Ferreira-Maritimo-August-31-2019-Primeira-Liga,0,0,1,0,21,3,7,6,19,0,0,4,1,9,2,8,9,14,2019-2020
2019-08-31,Aves,Famalicão,2,3,NA,NA,3573,Luís Godinho,https://fbref.com/en/matches/3f793aab/Aves-Famalicao-August-31-2019-Primeira-Liga,0,0,5,1,18,6,13,17,21,1,1,3,1,12,7,14,4,12,2019-2020
2019-08-31,Sporting CP,Rio Ave,2,3,NA,NA,37942,João Pinheiro,https://fbref.com/en/matches/4af1b297/Sporting-CP-Rio-Ave-August-31-2019-Primeira-Liga,0,0,2,1,9,5,8,12,17,3,3,2,0,6,3,9,17,13,2019-2020
2019-08-31,Gil Vicente FC,Vitória Setúbal,0,0,NA,NA,3200,Hélder Malheiro,https://fbref.com/en/matches/5ef1f3a8/Gil-Vicente-FC-Vitoria-Setubal-August-31-2019-Primeira-Liga,0,0,3,0,15,2,8,7,18,0,0,6,0,8,3,14,13,18,2019-2020
2019-09-01,Tondela,Santa Clara,0,0,NA,NA,2122,Manuel Mota,https://fbref.com/en/matches/fad96e96/Tondela-Santa-Clara-September-1-2019-Primeira-Liga,0,0,2,1,11,4,9,9,9,0,0,2,0,13,4,11,5,12,2019-2020
2019-09-01,Porto,Vitória,3,0,NA,NA,47711,Carlos Xistra,https://fbref.com/en/matches/afafd623/Porto-Vitoria-Guimaraes-September-1-2019-Primeira-Liga,0,0,3,0,18,10,8,6,20,0,0,3,2,9,4,14,6,7,2019-2020
2019-09-01,Braga,Benfica,0,4,NA,NA,15499,Nuno Almeida,https://fbref.com/en/matches/fa13fa90/Braga-Benfica-September-1-2019-Primeira-Liga,0,0,2,0,11,2,10,11,11,1,1,1,0,11,5,14,14,15,2019-2020
