league,mean_pre_goals,mean_post_goals,sd_pre_goals,sd_post_goals,mean_pre_yc,mean_post_yc,sd_pre_yc,sd_post_yc
Austrian Bundesliga,0.15849567063737574,-0.1783820986058016,0.03866143326194339,0.11764181160409046,-0.15570769680587573,0.07498072363684845,0.033712435642511335,0.08704030914404194
Danish Superliga,0.2370473660415979,0.20807794959457057,0.034746962315695754,0.1037617724731361,-0.1388487768460485,0.04223546525853641,0.03127858740178055,0.08490030233575055
English League Championship,0.23357255338485672,0.12367175331042819,0.023567274409943693,0.08623460900583105,-0.20691367773750477,-0.2302184638802433,0.020774051996018807,0.07875681419571932
English Premier League,0.24645317461988067,0.2639094279894954,0.028753482543441795,0.09145341189951575,-0.10312100614746547,-0.2178205391536105,0.02543964814625761,0.09043415216707609
German 2. Bundesliga,0.18971874098080962,0.26659272625137626,0.031002342480126812,0.0931667874296346,-0.16181869362903345,0.0419378282795236,0.02569671748056627,0.07626340516614649
German Bundesliga,0.23811266064581074,-0.008020826340425571,0.02983304855928348,0.09880823622609176,-0.16979480115321363,0.05054675514989261,0.02722258752653539,0.08095437641835392
Greek Super League,0.40890778870569594,0.17179986416923565,0.03888859560399359,0.12975292717428227,-0.21221652338505412,-0.14619262424419774,0.025336205270613914,0.08549621195071937
Italy Serie A,0.20299885359983277,0.3042475250245396,0.02737699610682258,0.07539302688832297,-0.12458612069270955,-0.182379657735872,0.02165904802656555,0.06543721338701332
Italy Serie B,0.31479765320840775,0.24471574966665968,0.02783833015397387,0.08844634918868871,-0.13033458396793046,-0.09392192425478059,0.01985053021033686,0.06486657754581335
Norwegian Eliteserien,0.34557109647814077,0.34616193703862524,0.03805637681889773,0.07558688462261881,-0.22163676108313635,-0.058057131277442504,0.03725852752463351,0.07051757685543163
Portuguese Liga,0.25554309003332026,0.33103414932507585,0.032597553278971736,0.09461060743612733,-0.1642857178813127,0.01622566875893018,0.023637673620470513,0.06813324479762997
Russian Premier Liga,0.25365205370130706,0.216364323710901,0.039886252475000314,0.11906960325648407,-0.20053843426840126,0.12916712154299395,0.02903343601495031,0.08112529329903287
Spanish La Liga,0.3063171858898098,0.1433231592137731,0.0288106257369227,0.09434494564372525,-0.09481465412099885,-0.06281361846972472,0.020712688534644353,0.06367315640898878
Spanish La Liga 2,0.3452077200306673,0.2407765159143108,0.02833937552521333,0.08708876105834694,-0.16428472476430842,-0.08390880843497345,0.018313391927093584,0.05760076918377627
Swedish Allsvenskan,0.22607644991485334,0.13153292831812508,0.03729938454710667,0.07875651009529104,-0.11874749168289768,0.054728390587763576,0.03475753841179046,0.06290916515339272
Swiss Super League,0.18069870349829908,0.3478821678899005,0.03958812914974497,0.10148871511703343,-0.17715307230014965,-0.11684882497174008,0.03248875932600146,0.08778920081789891
Turkish Super Lig,0.2707387464811374,0.2960213726807401,0.03184094888714157,0.10066580027376693,-0.0722675442052169,-0.03699603377107376,0.02416299302028793,0.08047054682219036
