league,home_win_rate,away_win_rate,draw_rate,avg_goal_diff,avg_yc_diff,avg_rc_diff,home_field_mean,home_field_low,home_field_high
German Bundesliga,0.4461038961038961,0.31103896103896106,0.24285714285714285,0.33181818181818185,-0.28888888888888886,-0.02091503267973856,-0.16068460952540775,-0.22046266663176214,-0.10589226814394243
German 2. Bundesliga,0.42129032258064514,0.2845161290322581,0.29419354838709677,0.2645161290322581,-0.3156862745098039,-0.022222222222222223,-7.805969204760285,-22.016206320793366,-0.8131200490610019
Danish Superliga,0.4468802698145025,0.30522765598650925,0.2478920741989882,0.327150084317032,-0.2299145299145299,-0.03162393162393162,-1.2745566716674435,-8.521260248142053,-0.19067261745993042
Austrian Bundesliga,0.4376344086021505,0.33763440860215055,0.22473118279569892,0.1978494623655914,-0.27741935483870966,-0.02903225806451613,-0.16167248539513235,-0.41851992980965835,-0.07586095818490163
Portuguese Liga,0.4549019607843137,0.3111111111111111,0.23398692810457516,0.3359477124183007,-0.37058823529411766,-0.03071895424836601,-0.15319585394280183,-0.20007999103157165,-0.10544837150686512
English Premier League,0.45789473684210524,0.3036842105263158,0.23842105263157895,0.33789473684210525,-0.1831578947368421,-0.01368421052631579,-0.10927590682755817,-0.16158667530201476,-0.06429692242034839
English League Championship,0.43323761665470206,0.2914572864321608,0.2753050969131371,0.2932519741564968,-0.3566810344827586,-0.03089080459770115,-1.231884673094225,-6.783999200389572,-0.26195409387036217
Greek Super League,0.46260162601626015,0.26666666666666666,0.2707317073170732,0.4479674796747967,-0.5481239804241436,-0.0734094616639478,-0.21260582493132524,-0.2640342787247761,-0.16175589967733472
Spanish La Liga,0.46578947368421053,0.2805263157894737,0.2536842105263158,0.39789473684210525,-0.24157894736842106,-0.02526315789473684,-0.09478834242086075,-0.13552690413451052,-0.05438265895700807
Spanish La Liga 2,0.4534292972057578,0.23878069432684165,0.3077900084674005,0.378069432684166,-0.4206896551724138,-0.05387931034482758,-3.3686800429771555,-18.181857969456527,-0.19788859429794375
Turkish Super Lig,0.46143790849673205,0.2869281045751634,0.25163398692810457,0.3764705882352941,-0.16711229946524064,-0.02406417112299465,-7.623468557161113,-22.171728786355295,2.684923884241644
Swedish Allsvenskan,0.4241379310344828,0.3112068965517241,0.2646551724137931,0.29482758620689653,-0.14335060449050085,0.006044905008635579,-0.1148022065061067,-0.38584941025646136,-0.02321762106085936
Swiss Super League,0.430939226519337,0.3281767955801105,0.2408839779005525,0.29171270718232045,-0.38290788013318533,-0.03107658157602664,-8.381583103058697,-22.641067435094723,-1.0591807765440904
Italy Serie A,0.4457894736842105,0.31684210526315787,0.2373684210526316,0.29157894736842105,-0.30105263157894735,-0.045789473684210526,-0.1299211933707707,-0.17191807895416772,-0.08833639275379274
Russian Premier Liga,0.41721854304635764,0.30629139072847683,0.2764900662251656,0.2897350993377483,-0.3804347826086957,-0.047658862876254184,-2.665045116883954,-16.887114936195974,-0.13919537777504098
Norwegian Eliteserien,0.46965699208443273,0.27088830255057167,0.2594547053649956,0.4890061565523307,-0.27929515418502204,-0.015859030837004406,-6.347622946653705,-21.01673770679584,-0.6771829743694607
Italy Serie B,0.4427445526193788,0.24153917477978673,0.3157162726008345,0.37783959202596196,-0.3160092807424594,-0.058932714617169375,-8.571188492811316,-23.01387594065896,-1.1761815799865178
