league,home_win_rate,away_win_rate,draw_rate,avg_goal_diff,avg_yc_diff,avg_rc_diff,home_field_mean,home_field_low,home_field_high
German Bundesliga,0.4461038961038961,0.31103896103896106,0.24285714285714285,0.33181818181818185,-0.28888888888888886,-0.02091503267973856,-6.02740304114721,-21.659250531314974,6.913082155352727
German 2. Bundesliga,0.42129032258064514,0.2845161290322581,0.29419354838709677,0.2645161290322581,-0.3156862745098039,-0.022222222222222223,-6.521304515719782,-21.570188878395328,6.769662612060601
Danish Superliga,0.4468802698145025,0.30522765598650925,0.2478920741989882,0.327150084317032,-0.2299145299145299,-0.03162393162393162,-8.4226738608793,-22.941667651975077,-0.5693694746009773
Austrian Bundesliga,0.4376344086021505,0.33763440860215055,0.22473118279569892,0.1978494623655914,-0.27741935483870966,-0.02903225806451613,-5.850618321221129,-21.638876487863612,7.204325975380192
Portuguese Liga,0.4549019607843137,0.3111111111111111,0.23398692810457516,0.3359477124183007,-0.37058823529411766,-0.03071895424836601,-5.757523607978608,-21.673154788853644,7.48847129166816
English Premier League,0.45789473684210524,0.3036842105263158,0.23842105263157895,0.33789473684210525,-0.1831578947368421,-0.01368421052631579,-5.7457050293440615,-21.6607138714304,7.126166263793969
English League Championship,0.43323761665470206,0.2914572864321608,0.2753050969131371,0.2932519741564968,-0.3566810344827586,-0.03089080459770115,-8.631753597368824,-22.87936067975292,-1.0377589099655213
Greek Super League,0.46260162601626015,0.26666666666666666,0.2707317073170732,0.4479674796747967,-0.5481239804241436,-0.0734094616639478,-9.608188586397574,-23.581655729104334,-2.0246736984551656
Spanish La Liga,0.46578947368421053,0.2805263157894737,0.2536842105263158,0.39789473684210525,-0.24157894736842106,-0.02526315789473684,-6.233276581838758,-21.251687411968422,5.646125537044834
Spanish La Liga 2,0.4534292972057578,0.23878069432684165,0.3077900084674005,0.378069432684166,-0.4206896551724138,-0.05387931034482758,-9.046915220112568,-22.899091145081723,-1.5645715300891543
Turkish Super Lig,0.46143790849673205,0.2869281045751634,0.25163398692810457,0.3764705882352941,-0.16711229946524064,-0.02406417112299465,-5.6750573234397965,-21.73458016179516,7.809051699787362
Swedish Allsvenskan,0.4241379310344828,0.3112068965517241,0.2646551724137931,0.29482758620689653,-0.14335060449050085,0.006044905008635579,-3.4636909839764147,-20.43495497236234,10.17311836580794
Swiss Super League,0.430939226519337,0.3281767955801105,0.2408839779005525,0.29171270718232045,-0.38290788013318533,-0.03107658157602664,-6.711986560450235,-22.200168691204997,6.52339444869596
Italy Serie A,0.4457894736842105,0.31684210526315787,0.2373684210526316,0.29157894736842105,-0.30105263157894735,-0.045789473684210526,-8.806655101102294,-22.8316558410131,-1.200880143895173
Russian Premier Liga,0.41721854304635764,0.30629139072847683,0.2764900662251656,0.2897350993377483,-0.3804347826086957,-0.047658862876254184,-6.899088566218481,-21.55079804799797,-0.3420595193475738
Norwegian Eliteserien,0.46965699208443273,0.27088830255057167,0.2594547053649956,0.4890061565523307,-0.27929515418502204,-0.015859030837004406,-6.062440341600168,-21.987324922542733,7.462754316544262
Italy Serie B,0.4427445526193788,0.24153917477978673,0.3157162726008345,0.37783959202596196,-0.3160092807424594,-0.058932714617169375,NA,NA,NA
