date,home,away,home_score,away_score,home_xg,away_xg,attendance,referee,match_report_url,home_pk_goals,home_pk_attempts,home_yellow_cards,home_red_cards,home_shots,home_shots_on_target,home_tackles,home_interceptions,home_fouls_committed,away_pk_goals,away_pk_attempts,away_yellow_cards,away_red_cards,away_shots,away_shots_on_target,away_tackles,away_interceptions,away_fouls_committed,season
2019-07-12,Midtjylland,Esbjerg,1,0,NA,NA,7310,Anders Poulsen,https://fbref.com/en/matches/23147e7e/Midtjylland-Esbjerg-July-12-2019-Superliga,0,0,1,0,15,5,12,10,16,0,0,2,0,10,3,15,9,12,2019-2020
2019-07-14,SønderjyskE,Randers,2,1,NA,NA,4734,Mikkel Redder,https://fbref.com/en/matches/279fdbc5/SonderjyskE-Randers-July-14-2019-Superliga,0,0,0,0,17,6,5,13,12,0,0,4,0,11,3,11,15,17,2019-2020
2019-07-14,Lyngby,Aalborg,2,0,NA,NA,2971,Jørgen Burchardt,https://fbref.com/en/matches/df9a9764/Lyngby-Aalborg-July-14-2019-Superliga,0,0,1,0,11,6,11,8,17,0,0,2,0,18,6,10,5,12,2019-2020
2019-07-14,Horsens,Nordsjælland,0,3,NA,NA,1653,Morten Krogh,https://fbref.com/en/matches/89cae00e/Horsens-Nordsjaelland-July-14-2019-Superliga,0,0,2,0,10,2,10,18,13,0,0,0,0,18,10,10,6,10,2019-2020
2019-07-14,Odense,FC Copenhagen,2,3,NA,NA,9067,Michael Tykgaard,https://fbref.com/en/matches/4508dbcd/Odense-FC-Copenhagen-July-14-2019-Superliga,0,0,2,0,19,9,5,12,11,0,0,2,0,16,6,5,6,11,2019-2020
2019-07-14,Brøndby,Silkeborg,3,0,NA,NA,13056,Mads-Kristoffer Kristoffersen,https://fbref.com/en/matches/0ec48ee7/Brondby-Silkeborg-July-14-2019-Superliga,0,0,0,0,19,7,8,14,9,0,0,1,0,4,2,12,9,5,2019-2020
2019-07-15,Hobro,Aarhus,1,1,NA,NA,4236,Peter Kjærsgaard-Andersen,https://fbref.com/en/matches/c22e919c/Hobro-Aarhus-July-15-2019-Superliga,0,0,2,0,12,2,8,16,10,0,0,3,0,18,4,8,2,7,2019-2020
2019-07-19,FC Copenhagen,Aarhus,2,1,NA,NA,16053,Anders Poulsen,https://fbref.com/en/matches/bc042e5a/FC-Copenhagen-Aarhus-July-19-2019-Superliga,0,0,2,0,11,5,6,10,13,0,0,2,0,11,2,5,5,20,2019-2020
2019-07-21,Silkeborg,Horsens,0,3,NA,NA,3535,Sandi Putros,https://fbref.com/en/matches/1898bb4c/Silkeborg-Horsens-July-21-2019-Superliga,0,0,2,0,11,1,5,5,6,0,0,0,0,19,10,10,11,7,2019-2020
2019-07-21,Aalborg,SønderjyskE,1,1,NA,NA,4355,Jakob Kehlet,https://fbref.com/en/matches/f1b9516d/Aalborg-SonderjyskE-July-21-2019-Superliga,0,0,3,0,25,6,14,7,11,0,0,2,0,12,3,11,11,14,2019-2020
2019-07-21,Esbjerg,Hobro,1,1,NA,NA,4452,Jørgen Burchardt,https://fbref.com/en/matches/5339a6fd/Esbjerg-Hobro-July-21-2019-Superliga,0,0,2,0,14,9,12,19,13,0,0,3,0,6,3,12,19,17,2019-2020
2019-07-21,Randers,Brøndby,2,2,NA,NA,5984,Michael Tykgaard,https://fbref.com/en/matches/c600c1ab/Randers-Brondby-July-21-2019-Superliga,0,0,2,0,16,6,10,13,7,0,0,2,1,19,4,11,7,6,2019-2020
2019-07-21,Midtjylland,Nordsjælland,2,1,NA,NA,6142,Jens Maae,https://fbref.com/en/matches/686fd26c/Midtjylland-Nordsjaelland-July-21-2019-Superliga,1,1,2,0,17,8,10,16,6,0,0,4,0,8,1,9,6,11,2019-2020
2019-07-22,Odense,Lyngby,4,1,NA,NA,6339,Morten Krogh,https://fbref.com/en/matches/211d4e1f/Odense-Lyngby-July-22-2019-Superliga,1,1,4,0,19,7,6,14,10,0,0,4,0,6,2,4,11,13,2019-2020
2019-07-26,Lyngby,SønderjyskE,0,3,NA,NA,3168,Benjamin Willaume-Jantzen,https://fbref.com/en/matches/b2f73912/Lyngby-SonderjyskE-July-26-2019-Superliga,0,0,2,0,13,1,7,9,10,0,0,2,0,18,8,15,12,15,2019-2020
2019-07-27,Horsens,FC Copenhagen,0,2,NA,NA,3565,Jakob Kehlet,https://fbref.com/en/matches/75f4e93f/Horsens-FC-Copenhagen-July-27-2019-Superliga,0,0,3,0,7,1,11,5,10,0,0,0,0,19,5,6,6,7,2019-2020
2019-07-28,Hobro,Randers,2,2,NA,NA,2812,Jakob A. Sundberg,https://fbref.com/en/matches/8c470d47/Hobro-Randers-July-28-2019-Superliga,0,0,1,0,13,4,3,8,7,1,1,1,1,10,5,10,14,14,2019-2020
2019-07-28,Nordsjælland,Esbjerg,2,0,NA,NA,1982,Sandi Putros,https://fbref.com/en/matches/085c286d/Nordsjaelland-Esbjerg-July-28-2019-Superliga,1,1,2,0,10,3,10,5,15,0,0,0,0,13,5,11,6,8,2019-2020
2019-07-28,Aarhus,Midtjylland,0,1,NA,NA,11739,Mads-Kristoffer Kristoffersen,https://fbref.com/en/matches/e39e1f3e/Aarhus-Midtjylland-July-28-2019-Superliga,0,0,3,0,16,4,11,14,11,1,1,5,0,9,3,15,9,16,2019-2020
