date,home,away,home_score,away_score,home_xg,away_xg,attendance,referee,match_report_url,home_pk_goals,home_pk_attempts,home_yellow_cards,home_red_cards,home_shots,home_shots_on_target,home_touches,home_pressures,home_tackles,home_interceptions,home_blocks,home_shot_creating_actions,home_goal_creating_actions,home_passes_attempted,home_passes_completed,home_carries,home_passing_progressive_dist,home_carry_progressive_dist,home_dribble_attempts,home_dribble_success,home_fouls_committed,away_pk_goals,away_pk_attempts,away_yellow_cards,away_red_cards,away_shots,away_shots_on_target,away_touches,away_pressures,away_tackles,away_interceptions,away_blocks,away_shot_creating_actions,away_goal_creating_actions,away_passes_attempted,away_passes_completed,away_carries,away_passing_progressive_dist,away_carry_progressive_dist,away_dribble_attempts,away_dribble_success,away_fouls_committed,season
2018-08-10,Manchester Utd,Leicester City,2,1,1.6,1.1,74439,Andre Marriner,https://fbref.com/en/matches/3ae83896/Manchester-United-Leicester-City-August-10-2018-Premier-League,1,1,2,0,7,5,625,123,19,14,25,14,3,501,397,447,2357,960,11,7,11,0,0,1,0,13,4,676,191,16,11,10,19,2,579,457,502,2410,1636,6,6,8,2018-2019
2018-08-11,Newcastle Utd,Tottenham,1,2,0.9,1.9,51749,Martin Atkinson,https://fbref.com/en/matches/dce15e01/Newcastle-United-Tottenham-Hotspur-August-11-2018-Premier-League,0,0,2,0,13,3,540,170,12,20,18,9,2,433,298,332,2154,683,16,10,11,0,0,2,0,15,6,746,183,20,10,24,22,2,595,480,512,3054,886,11,6,12,2018-2019
2018-08-11,Bournemouth,Cardiff City,2,0,2.3,1.5,10353,Kevin Friend,https://fbref.com/en/matches/352f5574/Bournemouth-Cardiff-City-August-11-2018-Premier-League,0,1,1,0,11,3,657,118,7,4,13,18,3,558,419,464,3115,1530,10,8,11,0,0,1,0,10,1,442,154,18,13,31,16,0,326,188,202,1796,581,9,5,9,2018-2019
2018-08-11,Huddersfield,Chelsea,0,3,0.5,1.9,24121,Chris Kavanagh,https://fbref.com/en/matches/d82a37a7/Huddersfield-Town-Chelsea-August-11-2018-Premier-League,0,0,2,0,8,2,504,113,27,15,17,13,0,407,290,315,2586,633,13,5,9,1,1,1,0,12,3,798,144,13,9,10,22,6,682,597,623,3749,1547,30,22,8,2018-2019
2018-08-11,Watford,Brighton,2,0,1.6,0.3,20051,Jonathan Moss,https://fbref.com/en/matches/b3a7c703/Watford-Brighton--Hove-Albion-August-11-2018-Premier-League,0,0,2,0,20,4,565,192,11,10,11,24,2,472,344,374,2665,990,8,4,10,0,0,2,0,6,0,541,139,13,15,20,11,0,433,321,346,2623,873,9,7,16,2018-2019
2018-08-11,Fulham,Crystal Palace,0,2,0.6,0.9,24821,Mike Dean,https://fbref.com/en/matches/30875601/Fulham-Crystal-Palace-August-11-2018-Premier-League,0,0,1,0,15,6,832,161,22,15,18,25,0,704,594,631,3270,1651,14,6,9,0,0,2,0,13,11,512,228,18,16,17,19,4,378,279,325,2574,1153,11,6,11,2018-2019
2018-08-11,Wolves,Everton,2,2,0.7,0.8,31231,Craig Pawson,https://fbref.com/en/matches/8dc8eaeb/Wolverhampton-Wanderers-Everton-August-11-2018-Premier-League,0,0,0,0,11,4,687,207,13,10,12,11,3,590,469,512,2547,1476,19,8,8,0,0,1,1,7,5,551,216,21,11,12,7,2,450,328,360,1767,780,7,4,7,2018-2019
2018-08-12,Liverpool,West Ham,4,0,3.7,0.8,53235,Anthony Taylor,https://fbref.com/en/matches/fc2c1788/Liverpool-West-Ham-United-August-12-2018-Premier-League,0,0,1,0,16,8,790,149,15,9,10,24,6,698,611,661,4447,1471,18,10,14,0,0,2,0,5,2,483,157,15,11,18,7,0,383,300,317,2209,923,11,4,9,2018-2019
2018-08-12,Southampton,Burnley,0,0,1,1.2,30784,Graham Scott,https://fbref.com/en/matches/aadb88b9/Southampton-Burnley-August-12-2018-Premier-League,0,0,0,0,19,3,510,106,11,5,13,35,0,415,301,325,2081,1260,7,3,10,0,0,1,0,14,5,555,113,7,6,17,21,0,461,336,358,2654,718,7,3,9,2018-2019
2018-08-12,Arsenal,Manchester City,0,2,0.4,1.8,59934,Michael Oliver,https://fbref.com/en/matches/478e9dab/Arsenal-Manchester-City-August-12-2018-Premier-League,0,0,2,0,9,3,521,273,18,14,13,16,0,430,319,360,2100,1154,5,4,11,0,0,2,0,18,7,666,161,5,13,19,25,4,562,462,515,2927,1693,13,11,16,2018-2019
2018-08-18,Cardiff City,Newcastle Utd,0,0,1,1.5,30720,Craig Pawson,https://fbref.com/en/matches/8b9218b2/Cardiff-City-Newcastle-United-August-18-2018-Premier-League,0,0,2,0,15,0,484,133,17,11,18,25,0,382,228,230,1965,771,22,12,14,0,1,2,1,11,5,469,159,14,11,20,14,0,348,204,233,2038,484,15,9,16,2018-2019
2018-08-18,Everton,Southampton,2,1,1.5,1.8,38601,Lee Mason,https://fbref.com/en/matches/7b877ffd/Everton-Southampton-August-18-2018-Premier-League,0,0,0,0,13,7,550,149,9,15,18,24,4,455,320,351,2518,949,7,4,8,0,0,5,0,15,4,446,103,11,13,15,20,1,348,217,250,1938,789,7,4,20,2018-2019
