date,home,away,home_score,away_score,home_xg,away_xg,attendance,referee,match_report_url,home_pk_goals,home_pk_attempts,home_yellow_cards,home_red_cards,home_shots,home_shots_on_target,home_touches,home_pressures,home_tackles,home_interceptions,home_blocks,home_shot_creating_actions,home_goal_creating_actions,home_passes_attempted,home_passes_completed,home_carries,home_passing_progressive_dist,home_carry_progressive_dist,home_dribble_attempts,home_dribble_success,home_fouls_committed,away_pk_goals,away_pk_attempts,away_yellow_cards,away_red_cards,away_shots,away_shots_on_target,away_touches,away_pressures,away_tackles,away_interceptions,away_blocks,away_shot_creating_actions,away_goal_creating_actions,away_passes_attempted,away_passes_completed,away_carries,away_passing_progressive_dist,away_carry_progressive_dist,away_dribble_attempts,away_dribble_success,away_fouls_committed,season
2017-08-11,Arsenal,Leicester City,4,3,2.1,1.6,59387,Mike Dean,https://fbref.com/en/matches/e3c3ddf0/Arsenal-Leicester-City-August-11-2017-Premier-League,0,0,0,0,28,10,782,162,20,9,11,51,7,659,546,593,3159,2058,20,15,9,0,0,1,0,6,4,419,137,10,5,25,6,5,305,179,184,1824,594,11,1,13,2017-2018
2017-08-12,Watford,Liverpool,3,3,2,3,20407,Anthony Taylor,https://fbref.com/en/matches/60f6cc1d/Watford-Liverpool-August-12-2017-Premier-League,0,0,0,0,9,5,563,109,15,13,18,11,3,450,301,337,2525,923,17,12,14,1,1,3,0,13,4,634,190,18,21,12,21,5,505,369,398,2721,1465,20,13,8,2017-2018
2017-08-12,West Brom,Bournemouth,1,0,1.2,0.4,25011,Robert Madley,https://fbref.com/en/matches/684f704a/West-Bromwich-Albion-Bournemouth-August-12-2017-Premier-League,0,0,3,0,17,6,399,136,15,9,17,25,2,294,188,218,1989,723,9,3,15,0,0,1,0,9,2,739,114,20,0,13,14,0,642,530,589,2627,1684,21,13,3,2017-2018
2017-08-12,Everton,Stoke City,1,0,0.4,0.3,39045,Niel Swarbrick,https://fbref.com/en/matches/7c834541/Everton-Stoke-City-August-12-2017-Premier-League,0,0,1,0,8,3,675,153,13,4,18,11,2,553,429,382,2741,1331,12,5,13,0,0,1,0,10,1,478,58,14,12,16,15,0,361,229,269,2138,1146,16,12,11,2017-2018
2017-08-12,Southampton,Swansea City,0,0,2.1,0.4,31447,Mike Jones,https://fbref.com/en/matches/e782371e/Southampton-Swansea-City-August-12-2017-Premier-League,0,0,2,0,30,3,645,95,10,12,10,47,0,549,437,439,2393,1632,10,10,10,0,0,1,0,4,0,490,64,7,16,28,7,0,383,292,304,2030,777,7,6,13,2017-2018
2017-08-12,Chelsea,Burnley,2,3,1,0.8,41616,Craig Pawson,https://fbref.com/en/matches/71b00bca/Chelsea-Burnley-August-12-2017-Premier-League,0,0,4,2,18,6,647,114,8,2,11,28,4,561,455,424,2522,1718,12,9,16,0,0,3,0,10,5,447,116,7,10,20,16,6,344,248,235,1935,694,4,3,12,2017-2018
2017-08-12,Crystal Palace,Huddersfield,0,3,1,1.7,25448,Jonathan Moss,https://fbref.com/en/matches/2d369d17/Crystal-Palace-Huddersfield-Town-August-12-2017-Premier-League,0,0,1,0,13,3,563,98,18,9,17,12,0,445,326,350,2742,1141,23,13,7,0,0,3,0,10,6,461,122,26,3,19,11,4,343,224,228,1940,655,7,2,19,2017-2018
2017-08-12,Brighton,Manchester City,0,2,0.5,1.6,30415,Michael Oliver,https://fbref.com/en/matches/072bfc99/Brighton-and-Hove-Albion-Manchester-City-August-12-2017-Premier-League,0,0,0,0,7,2,338,217,7,9,22,9,0,241,138,150,1294,498,11,7,6,0,0,2,0,14,4,888,156,10,10,15,22,2,786,693,632,3388,2008,13,6,9,2017-2018
2017-08-13,Newcastle Utd,Tottenham,0,2,0.5,2.2,52077,Andre Marriner,https://fbref.com/en/matches/d8a995d7/Newcastle-United-Tottenham-Hotspur-August-13-2017-Premier-League,0,0,1,1,6,3,395,249,21,7,20,7,0,291,183,187,1645,705,8,4,6,0,0,2,0,18,7,849,107,16,5,12,28,4,747,649,601,3226,1803,22,11,10,2017-2018
2017-08-13,Manchester Utd,West Ham,4,0,2.1,0.6,74928,Martin Atkinson,https://fbref.com/en/matches/f5d1f6f4/Manchester-United-West-Ham-United-August-13-2017-Premier-League,0,0,2,0,22,5,636,152,14,2,14,32,7,524,429,409,2955,1645,23,16,19,0,0,2,0,10,1,544,47,17,10,20,16,0,425,327,339,2238,963,3,1,7,2017-2018
