date,home,away,home_score,away_score,home_xg,away_xg,attendance,referee,match_report_url,home_pk_goals,home_pk_attempts,home_yellow_cards,home_red_cards,home_shots,home_shots_on_target,home_tackles,home_interceptions,home_fouls_committed,away_pk_goals,away_pk_attempts,away_yellow_cards,away_red_cards,away_shots,away_shots_on_target,away_tackles,away_interceptions,away_fouls_committed,season
2019-03-30,Odd,Brann,3,2,NA,NA,7295,Espen Andreas Eskås,https://fbref.com/en/matches/08a0072f/Odd-Brann-March-30-2019-Eliteserien,0,0,0,0,10,4,3,3,8,1,1,2,0,13,7,8,6,13,2019
2019-03-30,Vålerenga,Mjøndalen,2,0,NA,NA,8055,Kristoffer Hagenes,https://fbref.com/en/matches/651dc62f/Valerenga-Mjondalen-March-30-2019-Eliteserien,0,0,2,0,22,10,9,6,8,0,0,1,0,8,6,7,6,9,2019
2019-03-31,Strømsgodset,Haugesund,3,2,NA,NA,5040,Ola Nilsen,https://fbref.com/en/matches/ebb9448d/Stromsgodset-Haugesund-March-31-2019-Eliteserien,1,1,2,0,12,4,8,6,13,0,0,1,0,12,6,7,7,12,2019
2019-03-31,Sarpsborg 08,Molde,1,1,NA,NA,5964,Tore Hansen,https://fbref.com/en/matches/ec310791/Sarpsborg-08-Molde-March-31-2019-Eliteserien,0,0,1,0,15,4,6,9,15,0,0,2,0,6,3,6,8,16,2019
2019-03-31,Viking,Kristiansund,2,0,NA,NA,10059,Rohit Saggi,https://fbref.com/en/matches/6c9958b8/Viking-Kristiansund-March-31-2019-Eliteserien,0,0,2,0,16,6,11,7,20,0,0,1,0,14,3,14,9,7,2019
2019-03-31,Ranheim,Tromsø,1,2,NA,NA,1694,Trygve Kjensli,https://fbref.com/en/matches/26cd04f1/Ranheim-Tromso-March-31-2019-Eliteserien,0,0,1,0,10,3,16,12,21,0,0,2,0,10,2,7,11,11,2019
2019-03-31,Bodø/Glimt,Rosenborg,2,0,NA,NA,2793,Tom Hagen,https://fbref.com/en/matches/e5f491ef/BodoGlimt-Rosenborg-March-31-2019-Eliteserien,0,0,3,0,13,7,6,4,14,0,0,2,0,7,1,7,12,14,2019
2019-04-01,Stabæk,Lillestrøm,1,1,NA,NA,4031,Svein Oddvar Moen,https://fbref.com/en/matches/e7e1621b/Stabaek-Lillestrom-April-1-2019-Eliteserien,0,0,0,0,9,3,11,8,12,0,1,0,0,8,3,10,13,19,2019
2019-04-06,Mjøndalen,Bodø/Glimt,4,5,NA,NA,2211,Ola Nilsen,https://fbref.com/en/matches/5fe6575a/Mjondalen-BodoGlimt-April-6-2019-Eliteserien,1,1,2,0,11,6,5,5,13,1,1,2,0,16,9,3,8,11,2019
2019-04-07,Tromsø,Viking,0,2,NA,NA,2888,Kristoffer Hagenes,https://fbref.com/en/matches/5aefb020/Tromso-Viking-April-7-2019-Eliteserien,0,0,3,0,15,3,8,6,17,0,0,3,0,9,3,13,15,11,2019
2019-04-07,Haugesund,Sarpsborg 08,1,1,NA,NA,3671,Sigurd Kringstad,https://fbref.com/en/matches/43a17a12/Haugesund-Sarpsborg-08-April-7-2019-Eliteserien,0,0,1,0,10,1,15,6,16,0,0,1,0,7,4,8,3,17,2019
2019-04-07,Kristiansund,Vålerenga,2,0,NA,NA,3984,Dag Vidar Hafsås,https://fbref.com/en/matches/ab8258d5/Kristiansund-Valerenga-April-7-2019-Eliteserien,0,0,1,0,15,5,12,9,10,0,0,3,1,6,2,8,8,18,2019
2019-04-07,Molde,Stabæk,3,0,NA,NA,6372,Tom Hagen,https://fbref.com/en/matches/b4acbc49/Molde-Stabaek-April-7-2019-Eliteserien,0,0,0,0,26,15,8,9,8,0,0,2,0,7,4,17,12,4,2019
2019-04-07,Lillestrøm,Ranheim,2,1,NA,NA,5829,Tore Hansen,https://fbref.com/en/matches/bde850e7/Lillestrom-Ranheim-April-7-2019-Eliteserien,0,0,0,0,12,2,8,7,16,0,0,1,0,11,3,9,9,7,2019
2019-04-07,Brann,Strømsgodset,1,1,NA,NA,13213,Trond Døvle,https://fbref.com/en/matches/be45c90c/Brann-Stromsgodset-April-7-2019-Eliteserien,0,0,1,0,18,4,8,4,12,0,0,4,0,7,3,5,11,11,2019
2019-04-08,Rosenborg,Odd,1,1,NA,NA,11723,Tommy Skjerven,https://fbref.com/en/matches/440582c8/Rosenborg-Odd-April-8-2019-Eliteserien,0,0,0,0,7,1,12,3,20,0,0,2,0,16,2,11,18,7,2019
