date,home,away,home_score,away_score,home_xg,away_xg,attendance,referee,match_report_url,home_pk_goals,home_pk_attempts,home_yellow_cards,home_red_cards,home_shots,home_shots_on_target,home_tackles,home_interceptions,home_fouls_committed,away_pk_goals,away_pk_attempts,away_yellow_cards,away_red_cards,away_shots,away_shots_on_target,away_tackles,away_interceptions,away_fouls_committed,season
2016-03-11,Aalesund,Stabæk,1,0,NA,NA,5941,Tore Hansen,https://fbref.com/en/matches/3d9fcfc0/Aalesund-Stabaek-March-11-2016-Tippeligaen,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016
2016-03-12,Odd,Rosenborg,1,0,NA,NA,9144,Tom Hagen,https://fbref.com/en/matches/3281d66a/Odd-Rosenborg-March-12-2016-Tippeligaen,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016
2016-03-13,Molde,Tromsø,1,1,NA,NA,7745,Ola Nilsen,https://fbref.com/en/matches/011d4f5e/Molde-Tromso-March-13-2016-Tippeligaen,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016
2016-03-13,Sarpsborg 08,Haugesund,0,1,NA,NA,3535,Martin Lundby,https://fbref.com/en/matches/819f655e/Sarpsborg-08-Haugesund-March-13-2016-Tippeligaen,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2016
2016-03-13,Bodø/Glimt,Sogndal,2,0,NA,NA,2398,Dag Vidar Hafsås,https://fbref.com/en/matches/c46acb3f/BodoGlimt-Sogndal-March-13-2016-Tippeligaen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
2016-03-13,Strømsgodset,Brann,2,2,NA,NA,7394,Svein Oddvar Moen,https://fbref.com/en/matches/a58c9d67/Stromsgodset-Brann-March-13-2016-Tippeligaen,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
2016-03-13,Start,Lillestrøm,1,1,NA,NA,3623,Svein Erik Edvartsen,https://fbref.com/en/matches/0278fbf3/Start-Lillestrom-March-13-2016-Tippeligaen,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2016
2016-03-14,Vålerenga,Viking,0,2,NA,NA,7573,Kim Andre Johnsen,https://fbref.com/en/matches/20ffb2ff/Valerenga-Viking-March-14-2016-Tippeligaen,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2016
2016-03-18,Tromsø,Start,0,0,NA,NA,4241,Trygve Kjensli,https://fbref.com/en/matches/8585189f/Tromso-Start-March-18-2016-Tippeligaen,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016
2016-03-19,Haugesund,Aalesund,3,0,NA,NA,5168,Trond Døvle,https://fbref.com/en/matches/ad5e4386/Haugesund-Aalesund-March-19-2016-Tippeligaen,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016
