date,home,away,home_score,away_score,home_xg,away_xg,attendance,referee,match_report_url,home_pk_goals,home_pk_attempts,home_yellow_cards,home_red_cards,home_shots,home_shots_on_target,home_touches,home_pressures,home_tackles,home_interceptions,home_blocks,home_shot_creating_actions,home_goal_creating_actions,home_passes_attempted,home_passes_completed,home_carries,home_passing_progressive_dist,home_carry_progressive_dist,home_dribble_attempts,home_dribble_success,home_fouls_committed,away_pk_goals,away_pk_attempts,away_yellow_cards,away_red_cards,away_shots,away_shots_on_target,away_touches,away_pressures,away_tackles,away_interceptions,away_blocks,away_shot_creating_actions,away_goal_creating_actions,away_passes_attempted,away_passes_completed,away_carries,away_passing_progressive_dist,away_carry_progressive_dist,away_dribble_attempts,away_dribble_success,away_fouls_committed,season
2019-08-24,Parma,Juventus,0,1,0.4,1.3,20073,Fabio Maresca,https://fbref.com/en/matches/2b01c68a/Parma-Juventus-August-24-2019-Serie-A,0,0,2,0,9,3,456,213,11,8,13,10,0,352,274,273,2060,1047,19,14,13,0,0,3,0,14,4,671,116,19,9,15,24,1,567,479,459,2800,1658,20,16,14,2019-2020
2019-08-24,Fiorentina,Napoli,3,4,1.7,2,33614,Davide Massa,https://fbref.com/en/matches/de16a772/Fiorentina-Napoli-August-24-2019-Serie-A,1,1,2,0,19,5,542,261,13,9,17,31,5,412,338,378,2377,1450,25,21,21,1,1,4,0,14,5,656,214,11,7,19,27,8,551,464,441,2548,1336,18,14,16,2019-2020
2019-08-25,Udinese,Milan,1,0,1,0.5,24584,Fabrizio Pasqua,https://fbref.com/en/matches/5d32941f/Udinese-Milan-August-25-2019-Serie-A,0,0,1,0,19,6,507,120,14,9,15,25,1,403,317,313,2534,931,11,6,16,0,0,3,0,13,0,672,104,17,5,19,21,0,562,486,489,2435,1695,6,6,11,2019-2020
2019-08-25,Torino,Sassuolo,2,1,1.2,1.5,16536,Maurizio Mariani,https://fbref.com/en/matches/6237b77f/Torino-Sassuolo-August-25-2019-Serie-A,0,0,4,0,12,5,443,260,31,14,19,20,3,289,200,232,2076,837,14,10,21,0,0,3,0,20,9,673,114,18,7,13,35,1,539,448,467,2733,1456,16,13,14,2019-2020
2019-08-25,SPAL,Atalanta,2,3,1.6,1.7,11706,Gianluca Manganiello,https://fbref.com/en/matches/0326af7e/SPAL-Atalanta-August-25-2019-Serie-A,0,0,2,0,9,3,488,105,11,5,19,13,4,370,269,263,2217,961,13,8,13,0,0,1,0,22,13,635,108,14,9,6,29,4,523,407,408,2759,1228,10,7,16,2019-2020
2019-08-25,Roma,Genoa,3,3,1.9,1.3,38779,Giampaolo Calvarese,https://fbref.com/en/matches/3ac8069d/Roma-Genoa-August-25-2019-Serie-A,0,0,3,0,23,9,583,122,10,3,13,36,6,489,404,397,2545,1659,15,11,14,1,1,1,0,5,3,536,252,11,7,13,10,6,412,342,353,2465,717,6,2,15,2019-2020
2019-08-25,Hellas Verona,Bologna,1,1,0.2,1.6,16324,Antonio Giua,https://fbref.com/en/matches/a8b82bb0/Hellas-Verona-Bologna-August-25-2019-Serie-A,0,0,1,1,5,2,344,129,21,10,10,3,1,222,131,155,1261,401,7,4,13,1,1,3,0,15,1,737,88,13,4,9,25,2,641,548,557,2919,1858,14,6,14,2019-2020
2019-08-25,Cagliari,Brescia,0,1,1,1.5,16099,Eugenio Abbattista,https://fbref.com/en/matches/fb06cc65/Cagliari-Brescia-August-25-2019-Serie-A,0,0,2,0,14,4,671,118,12,15,19,21,0,556,421,434,3191,1105,12,8,10,1,1,2,0,9,1,527,163,12,8,16,13,2,389,258,273,2164,1086,14,10,12,2019-2020
2019-08-25,Sampdoria,Lazio,0,3,0.8,2.3,19500,Gianluca Rocchi,https://fbref.com/en/matches/de72f334/Sampdoria-Lazio-August-25-2019-Serie-A,0,0,2,0,16,7,599,125,16,4,16,26,0,476,393,381,2475,1205,31,16,12,0,0,2,0,19,10,597,140,26,7,7,32,3,479,392,401,2867,1239,20,12,12,2019-2020
2019-08-26,Inter,Lecce,4,0,1.7,0.7,64188,Federico La Penna,https://fbref.com/en/matches/813ea7be/Internazionale-Lecce-August-26-2019-Serie-A,0,0,1,0,24,7,704,142,9,3,18,41,7,598,523,548,3131,1807,17,14,13,0,0,2,1,16,2,495,151,11,4,14,27,0,396,320,310,2473,1060,12,8,9,2019-2020
