date,home,away,home_score,away_score,home_xg,away_xg,attendance,referee,match_report_url,home_pk_goals,home_pk_attempts,home_yellow_cards,home_red_cards,home_shots,home_shots_on_target,home_touches,home_pressures,home_tackles,home_interceptions,home_blocks,home_shot_creating_actions,home_goal_creating_actions,home_passes_attempted,home_passes_completed,home_carries,home_passing_progressive_dist,home_carry_progressive_dist,home_dribble_attempts,home_dribble_success,home_fouls_committed,away_pk_goals,away_pk_attempts,away_yellow_cards,away_red_cards,away_shots,away_shots_on_target,away_touches,away_pressures,away_tackles,away_interceptions,away_blocks,away_shot_creating_actions,away_goal_creating_actions,away_passes_attempted,away_passes_completed,away_carries,away_passing_progressive_dist,away_carry_progressive_dist,away_dribble_attempts,away_dribble_success,away_fouls_committed,season
2017-08-19,Juventus,Cagliari,3,0,1.3,1.4,39226,Fabio Maresca,https://fbref.com/en/matches/c6005f97/Juventus-Cagliari-August-19-2017-Serie-A,0,0,1,0,17,7,825,114,9,13,10,31,6,726,633,646,3636,1510,22,14,13,0,1,0,0,4,1,536,191,13,9,18,5,0,434,335,360,1904,966,11,8,12,2017-2018
2017-08-19,Hellas Verona,Napoli,1,3,1.5,1.7,15215,Michael Fabbri,https://fbref.com/en/matches/3a95d279/Hellas-Verona-Napoli-August-19-2017-Serie-A,1,1,2,0,11,2,572,135,11,21,14,19,2,468,364,411,2403,801,14,7,7,0,0,2,1,23,10,781,155,22,14,10,41,3,683,578,620,3111,1477,13,10,9,2017-2018
2017-08-20,Atalanta,Roma,0,1,1.6,0.3,19108,Piero Giacomelli,https://fbref.com/en/matches/634f9715/Atalanta-Roma-August-20-2017-Serie-A,0,0,1,0,18,6,621,230,21,20,11,31,0,500,388,440,2902,1415,21,13,14,0,0,2,0,6,1,512,151,22,16,19,12,2,393,291,334,2794,1206,23,15,16,2017-2018
2017-08-20,Sampdoria,Benevento,2,1,2.1,1.2,19223,Fabrizio Pasqua,https://fbref.com/en/matches/9456e693/Sampdoria-Benevento-August-20-2017-Serie-A,0,0,1,0,17,6,774,132,15,4,11,27,2,669,563,609,3379,1499,27,20,10,0,0,2,0,17,7,501,218,16,16,20,29,2,387,284,316,2102,1237,17,7,10,2017-2018
2017-08-20,Udinese,Chievo,1,2,0.9,0.7,13000,Claudio Gavillucci,https://fbref.com/en/matches/41ef2446/Udinese-Chievo-August-20-2017-Serie-A,0,0,2,0,20,5,667,120,15,9,14,35,2,548,428,481,2518,1332,18,11,12,0,0,2,0,10,3,625,219,20,7,17,16,3,516,381,415,2743,970,17,10,10,2017-2018
2017-08-20,Bologna,Torino,1,1,0.7,0.4,19033,Davide Massa,https://fbref.com/en/matches/7697c084/Bologna-Torino-August-20-2017-Serie-A,0,0,2,0,13,3,479,265,12,8,13,21,2,385,299,345,2084,945,9,8,19,0,0,1,0,10,3,642,104,5,15,9,17,2,565,466,485,2320,1726,18,15,10,2017-2018
2017-08-20,Lazio,SPAL,0,0,1.1,0.7,25000,Rosario Abisso,https://fbref.com/en/matches/c91aae8f/Lazio-SPAL-August-20-2017-Serie-A,0,0,2,0,24,13,668,144,16,22,14,39,0,542,448,495,3253,2013,22,5,20,0,0,2,0,9,2,596,227,21,16,15,14,0,455,351,389,2592,1014,21,13,4,2017-2018
2017-08-20,Crotone,Milan,0,3,0.5,2,13478,Maurizio Mariani,https://fbref.com/en/matches/9bd2e3b1/Crotone-Milan-August-20-2017-Serie-A,0,0,1,1,6,2,306,135,10,12,13,10,0,209,115,152,1255,471,13,9,10,1,1,3,0,21,9,857,82,12,8,10,40,5,758,664,707,4294,1603,12,8,14,2017-2018
2017-08-20,Inter,Fiorentina,3,0,2.6,0.5,51752,Paolo Tagliavento,https://fbref.com/en/matches/607c6fb5/Internazionale-Fiorentina-August-20-2017-Serie-A,1,1,0,0,15,5,672,158,11,11,13,26,6,569,467,469,3043,1424,20,12,7,0,0,1,0,16,3,644,223,13,10,15,27,0,538,435,493,2686,1361,24,18,14,2017-2018
2017-08-20,Sassuolo,Genoa,0,0,0.6,1.1,8134,Antonio Damato,https://fbref.com/en/matches/eafae14e/Sassuolo-Genoa-August-20-2017-Serie-A,0,0,2,0,13,3,528,128,9,15,16,19,0,410,322,337,2819,865,10,5,17,0,0,3,0,13,4,567,162,13,3,11,23,0,484,361,382,2544,1121,13,7,28,2017-2018
