league,goals_ha_pre,goals_ha_post,yc_ha_pre,yc_ha_post
German Bundesliga,0.1896826642461051,-0.04645319063411157,-0.1934814637037783,0.020996818465693696
German 2. Bundesliga,0.19721947032257148,0.25337008143903234,-0.15053566937495932,0.06509246738907712
Danish Superliga,0.21070432072620332,0.19252757894955752,-0.18086202192010542,-0.012010977710498161
Austrian Bundesliga,0.08465331421711929,-0.23247532782385655,-0.0885232696128104,0.06013981432375853
Portuguese Liga,0.19353190495130973,0.308917304027911,-0.13273173327303478,0.010732036691665942
English Premier League,0.22271229250162555,0.25397446185818773,-0.0990367974942326,-0.2360693541405426
English League Championship,0.2123682474693473,0.10240757659426163,-0.19598642515504094,-0.2167376918004535
Greek Super League,0.4232129678247081,0.17427984442910713,-0.2318219638465705,-0.17112683252045757
Spanish La Liga,0.30477734178771765,0.14994406650691094,-0.032284459221358315,-0.031423823562166144
Spanish La Liga 2,0.2942072988484146,0.2061967228442448,-0.08735965268314239,-0.05726388531668091
Turkish Super Lig,0.27243352943992966,0.2911179757563071,-0.06330551545342973,-0.052408001463918684
Swedish Allsvenskan,0.34219866497962526,0.10756260627324807,-0.0840397056703895,-0.005230137561366908
Swiss Super League,0.12311843294068854,0.3367203140887075,-0.14489769060626165,-0.16786261468851257
Italy Serie A,0.15138979825074103,0.2689845070218403,-0.10036041362269875,-0.20915917306514312
Russian Premier Liga,0.21559440365559704,0.18794364048900092,-0.1735973080427549,0.053390205272687626
Norwegian Eliteserien,0.3858551107463108,0.2960826156808961,-0.09340944732026678,-0.1391362998732917
Italy Serie B,0.2894314498333106,0.22064423919607817,-0.08969884841277638,-0.08929328621258556
