date,home,away,home_score,away_score,home_xg,away_xg,attendance,referee,match_report_url,home_pk_goals,home_pk_attempts,home_yellow_cards,home_red_cards,home_shots,home_shots_on_target,home_tackles,home_interceptions,home_fouls_committed,away_pk_goals,away_pk_attempts,away_yellow_cards,away_red_cards,away_shots,away_shots_on_target,away_tackles,away_interceptions,away_fouls_committed,season
2019-07-26,Rapid Wien,RB Salzburg,0,2,NA,NA,24200,Alexander Harkam,https://fbref.com/en/matches/341a27e4/Rapid-Wien-Red-Bull-Salzburg-July-26-2019-Austrian-Bundesliga,0,0,0,0,16,2,7,17,7,0,0,0,0,12,4,15,16,16,2019-2020
2019-07-27,WSG Wattens,Austria Wien,3,1,NA,NA,4600,Christopher Jäger,https://fbref.com/en/matches/1cbbfd76/WSG-Wattens-Austria-Wien-July-27-2019-Austrian-Bundesliga,0,0,0,0,15,7,7,18,18,0,0,2,0,18,4,6,7,14,2019-2020
2019-07-27,Admira,Wolfsberger AC,0,3,NA,NA,1900,Christian-Petru Ciochirca,https://fbref.com/en/matches/c32792aa/Admira-Wacker-Modling-Wolfsberger-AC-July-27-2019-Austrian-Bundesliga,0,0,3,0,10,3,19,17,13,0,0,3,0,15,5,16,18,15,2019-2020
2019-07-28,LASK,SCR Altach,2,0,NA,NA,5333,Harald Lechner,https://fbref.com/en/matches/96a71a15/LASK-Rheindorf-Altach-July-28-2019-Austrian-Bundesliga,0,0,1,0,21,7,9,22,19,0,0,2,0,5,1,10,10,16,2019-2020
2019-07-28,Mattersburg,Hartberg,2,1,NA,NA,2850,Manuel Schüttengruber,https://fbref.com/en/matches/6ae7c604/Mattersburg-Hartberg-July-28-2019-Austrian-Bundesliga,1,1,1,0,17,6,8,11,13,0,0,3,0,16,3,11,11,13,2019-2020
2019-07-28,Sturm Graz,St. Pölten,3,0,NA,NA,7194,Walter Altmann,https://fbref.com/en/matches/0427bf0f/Sturm-Graz-St-Polten-July-28-2019-Austrian-Bundesliga,0,0,2,0,18,7,18,14,14,0,0,2,1,6,1,13,8,18,2019-2020
2019-08-03,Austria Wien,LASK,0,3,NA,NA,9350,Sebastian Gishamer,https://fbref.com/en/matches/ec58586a/Austria-Wien-LASK-August-3-2019-Austrian-Bundesliga,0,0,1,0,6,2,12,10,20,0,0,2,0,13,6,10,8,29,2019-2020
2019-08-03,SCR Altach,WSG Wattens,3,2,NA,NA,4038,Gerhard Grobelnik,https://fbref.com/en/matches/df2d69d0/Rheindorf-Altach-WSG-Wattens-August-3-2019-Austrian-Bundesliga,0,0,2,0,19,8,9,9,11,0,0,3,0,7,4,11,22,14,2019-2020
2019-08-03,Hartberg,Admira,4,1,NA,NA,2624,Josef Spurny,https://fbref.com/en/matches/7d8949d5/Hartberg-Admira-Wacker-Modling-August-3-2019-Austrian-Bundesliga,0,0,2,0,12,6,10,10,18,0,0,3,0,13,6,12,8,17,2019-2020
2019-08-04,St. Pölten,Rapid Wien,2,2,NA,NA,7582,Christopher Jäger,https://fbref.com/en/matches/4b2a6a6d/St-Polten-Rapid-Wien-August-4-2019-Austrian-Bundesliga,0,0,3,0,8,3,17,4,19,0,0,4,0,19,6,14,16,17,2019-2020
2019-08-04,Wolfsberger AC,Sturm Graz,0,1,NA,NA,7231,Dieter Muckenhammer,https://fbref.com/en/matches/f81d8f84/Wolfsberger-AC-Sturm-Graz-August-4-2019-Austrian-Bundesliga,0,0,2,0,23,3,11,5,12,0,0,3,1,5,2,16,22,9,2019-2020
2019-08-04,RB Salzburg,Mattersburg,4,1,NA,NA,8938,Andreas Heiß,https://fbref.com/en/matches/1ee2a182/Red-Bull-Salzburg-Mattersburg-August-4-2019-Austrian-Bundesliga,1,1,4,1,27,9,12,10,10,1,1,2,0,5,4,9,19,11,2019-2020
2019-08-10,Rapid Wien,SCR Altach,2,1,NA,NA,12800,Dieter Muckenhammer,https://fbref.com/en/matches/f2f06aa7/Rapid-Wien-Rheindorf-Altach-August-10-2019-Austrian-Bundesliga,0,0,1,0,17,9,18,31,18,0,0,3,0,14,9,11,11,12,2019-2020
2019-08-10,RB Salzburg,Wolfsberger AC,5,2,NA,NA,8874,Julian Weinberger,https://fbref.com/en/matches/0b3ac5e1/Red-Bull-Salzburg-Wolfsberger-AC-August-10-2019-Austrian-Bundesliga,0,0,3,0,19,7,15,18,9,0,0,1,0,13,5,10,19,10,2019-2020
2019-08-10,Admira,LASK,0,1,NA,NA,2037,Robert Schörgenhofer,https://fbref.com/en/matches/624ea70b/Admira-Wacker-Modling-LASK-August-10-2019-Austrian-Bundesliga,0,0,3,0,8,3,15,11,17,0,0,1,0,15,5,18,13,14,2019-2020
2019-08-11,Hartberg,Sturm Graz,1,0,NA,NA,5420,Harald Lechner,https://fbref.com/en/matches/d1a6c63a/Hartberg-Sturm-Graz-August-11-2019-Austrian-Bundesliga,1,1,4,1,9,4,8,4,14,0,0,4,0,8,4,11,9,16,2019-2020
2019-08-11,WSG Wattens,St. Pölten,1,1,NA,NA,3050,Manuel Schüttengruber,https://fbref.com/en/matches/0cd53df8/WSG-Wattens-St-Polten-August-11-2019-Austrian-Bundesliga,1,1,3,0,12,5,11,13,17,0,1,2,0,12,6,14,13,17,2019-2020
2019-08-11,Mattersburg,Austria Wien,1,5,NA,NA,4100,Stefan Ebner,https://fbref.com/en/matches/86a1aab6/Mattersburg-Austria-Wien-August-11-2019-Austrian-Bundesliga,0,0,1,0,12,3,9,13,16,0,0,1,0,17,9,12,7,16,2019-2020
2019-08-17,Wolfsberger AC,Mattersburg,5,0,NA,NA,3389,Christian-Petru Ciochirca,https://fbref.com/en/matches/a21cc651/Wolfsberger-AC-Mattersburg-August-17-2019-Austrian-Bundesliga,0,0,0,0,25,10,9,5,8,0,0,1,0,5,2,8,16,9,2019-2020
2019-08-17,St. Pölten,RB Salzburg,0,6,NA,NA,4200,Dieter Muckenhammer,https://fbref.com/en/matches/6e6f092f/St-Polten-Red-Bull-Salzburg-August-17-2019-Austrian-Bundesliga,0,0,3,1,6,3,17,16,17,0,0,2,0,24,12,13,13,11,2019-2020
2019-08-17,LASK,WSG Wattens,1,1,NA,NA,5338,Felix Ouschan,https://fbref.com/en/matches/cd270dc4/LASK-WSG-Wattens-August-17-2019-Austrian-Bundesliga,0,0,1,0,16,3,7,15,13,0,0,3,0,9,7,11,22,7,2019-2020
2019-08-18,Austria Wien,Admira,1,1,NA,NA,7215,Walter Altmann,https://fbref.com/en/matches/c2f6836a/Austria-Wien-Admira-Wacker-Modling-August-18-2019-Austrian-Bundesliga,0,0,4,0,13,3,12,6,14,0,0,4,0,12,6,4,16,10,2019-2020
2019-08-18,Sturm Graz,Rapid Wien,0,1,NA,NA,14532,Oliver Drachta,https://fbref.com/en/matches/a6f506b3/Sturm-Graz-Rapid-Wien-August-18-2019-Austrian-Bundesliga,0,0,1,0,7,1,8,14,15,0,0,0,0,6,2,12,12,15,2019-2020
2019-08-18,SCR Altach,Hartberg,3,3,NA,NA,3812,Andreas Heiß,https://fbref.com/en/matches/4aa491c1/Rheindorf-Altach-Hartberg-August-18-2019-Austrian-Bundesliga,0,0,0,0,20,7,3,9,12,0,0,2,0,9,4,7,13,13,2019-2020
2019-08-24,Wolfsberger AC,SCR Altach,5,2,NA,NA,3345,Stefan Ebner,https://fbref.com/en/matches/c39eaf60/Wolfsberger-AC-Rheindorf-Altach-August-24-2019-Austrian-Bundesliga,0,0,3,0,19,10,16,17,14,0,1,2,0,8,2,10,14,19,2019-2020
2019-08-24,Rapid Wien,LASK,1,2,NA,NA,19400,Christian-Petru Ciochirca,https://fbref.com/en/matches/6b5ebcd2/Rapid-Wien-LASK-August-24-2019-Austrian-Bundesliga,0,0,2,0,10,1,12,13,8,0,0,1,0,21,7,15,16,11,2019-2020
2019-08-24,Mattersburg,St. Pölten,0,1,NA,NA,1700,Robert Schörgenhofer,https://fbref.com/en/matches/b030b9b5/Mattersburg-St-Polten-August-24-2019-Austrian-Bundesliga,0,0,5,0,13,4,15,8,26,1,1,5,0,4,1,15,12,25,2019-2020
2019-08-25,Sturm Graz,WSG Wattens,2,0,NA,NA,7512,Julian Weinberger,https://fbref.com/en/matches/3c93cc8e/Sturm-Graz-WSG-Wattens-August-25-2019-Austrian-Bundesliga,0,0,1,0,17,9,6,16,5,0,0,4,0,11,2,7,15,18,2019-2020
2019-08-25,RB Salzburg,Admira,5,0,NA,NA,10648,Harald Lechner,https://fbref.com/en/matches/43262d55/Red-Bull-Salzburg-Admira-Wacker-Modling-August-25-2019-Austrian-Bundesliga,2,2,1,0,24,10,13,13,15,0,0,2,0,3,1,14,16,8,2019-2020
2019-08-25,Hartberg,Austria Wien,2,2,NA,NA,4237,Dieter Muckenhammer,https://fbref.com/en/matches/270c7671/Hartberg-Austria-Wien-August-25-2019-Austrian-Bundesliga,0,1,2,0,13,8,9,9,13,0,0,3,1,11,2,11,15,12,2019-2020
2019-08-31,WSG Wattens,RB Salzburg,1,5,NA,NA,5400,Rene Eisner,https://fbref.com/en/matches/88db5e56/WSG-Wattens-Red-Bull-Salzburg-August-31-2019-Austrian-Bundesliga,0,0,2,0,12,2,10,22,13,1,1,0,0,20,9,8,11,9,2019-2020
2019-08-31,Admira,Mattersburg,1,3,NA,NA,1905,Christopher Jäger,https://fbref.com/en/matches/5daea334/Admira-Wacker-Modling-Mattersburg-August-31-2019-Austrian-Bundesliga,0,0,3,1,10,4,7,4,17,1,1,3,0,13,5,5,12,17,2019-2020
2019-08-31,LASK,Wolfsberger AC,0,1,NA,NA,5353,Sebastian Gishamer,https://fbref.com/en/matches/bb46349b/LASK-Wolfsberger-AC-August-31-2019-Austrian-Bundesliga,0,0,2,0,10,2,2,8,16,0,0,1,0,11,4,6,15,13,2019-2020
2019-09-01,Austria Wien,Rapid Wien,1,3,NA,NA,14615,Harald Lechner,https://fbref.com/en/matches/d3f2a371/Austria-Wien-Rapid-Wien-September-1-2019-Austrian-Bundesliga,0,0,3,0,17,7,12,18,16,0,0,4,0,19,6,9,15,17,2019-2020
2019-09-01,St. Pölten,Hartberg,1,3,NA,NA,3402,Julian Weinberger,https://fbref.com/en/matches/936f7b64/St-Polten-Hartberg-September-1-2019-Austrian-Bundesliga,1,1,2,0,12,5,14,10,17,0,0,4,0,8,5,17,13,20,2019-2020
2019-09-01,SCR Altach,Sturm Graz,1,2,NA,NA,5042,Markus Hameter,https://fbref.com/en/matches/fbe8772c/Rheindorf-Altach-Sturm-Graz-September-1-2019-Austrian-Bundesliga,0,0,2,0,10,4,12,10,16,0,0,1,0,11,2,10,12,10,2019-2020
2019-09-14,RB Salzburg,Hartberg,7,2,NA,NA,8933,Oliver Drachta,https://fbref.com/en/matches/5fa36d4a/Red-Bull-Salzburg-Hartberg-September-14-2019-Austrian-Bundesliga,0,0,0,0,34,18,13,19,6,0,0,3,0,10,3,10,17,12,2019-2020
2019-09-14,Mattersburg,WSG Wattens,0,2,NA,NA,1900,Alan Kijas,https://fbref.com/en/matches/7b191107/Mattersburg-WSG-Wattens-September-14-2019-Austrian-Bundesliga,0,0,1,0,14,4,11,7,13,1,1,3,0,15,5,12,6,19,2019-2020
2019-09-14,Sturm Graz,LASK,0,2,NA,NA,10303,Walter Altmann,https://fbref.com/en/matches/ebf8c14b/Sturm-Graz-LASK-September-14-2019-Austrian-Bundesliga,0,0,2,0,11,1,17,14,13,0,0,0,0,16,7,8,17,14,2019-2020
2019-09-15,SCR Altach,St. Pölten,6,0,NA,NA,3538,Alexander Harkam,https://fbref.com/en/matches/841040c0/Rheindorf-Altach-St-Polten-September-15-2019-Austrian-Bundesliga,1,1,0,0,16,8,5,13,4,0,0,3,1,8,3,13,12,12,2019-2020
