league,mu,log_mu,ha,rho,rho_min,rho_max
German Bundesliga,1.3011049723756907,0.26321388219064673,0.36671270718232046,-0.6149964690355316,-0.8123374073731291,-0.44436608906044367
German 2. Bundesliga,1.2353347135955832,0.21134195651411836,0.26017943409247757,-0.21231185025341065,-0.4508219401307656,0.1455063010608478
Danish Superliga,1.2247292418772564,0.20271979252764008,0.3348375451263538,-0.594941571451803,-0.8034845399178963,-0.4699678492264045
Austrian Bundesliga,1.3217993079584776,0.27899392049414307,0.24567474048442905,-0.5981871417452499,-0.8006677695727034,-0.18346725386023374
Portuguese Liga,1.1277777777777778,0.12024912815157694,0.3368055555555556,-0.689572527839261,-0.7735404240282437,-0.5838086913037104
English Premier League,1.204646017699115,0.1861857625407839,0.336283185840708,-0.6712485870301015,-0.7956418398985309,-0.614635511961447
English League Championship,1.1328095772540216,0.12470089841842034,0.30377852600074823,-0.43388377982291987,-0.713716487170088,-0.25154929090725775
Greek Super League,0.913527397260274,-0.09044191208641898,0.4606164383561644,-0.7506313570067178,-0.8347861266292522,-0.6576588676430255
Spanish La Liga,1.1502793296089386,0.14000480819298886,0.4106145251396648,-0.44527011305892544,-0.5470269342253185,-0.2226213242580119
Spanish La Liga 2,0.9332736229287953,-0.06905684896690034,0.3851321092700403,-0.06262387883520473,-0.2656712695619195,0.14015683309600724
Turkish Super Lig,1.1958904109589041,0.17889102169716542,0.3815068493150685,-0.44263408052533615,-0.6998029871903704,0.017384673021955906
Swedish Allsvenskan,1.2479166666666666,0.22147549421351265,0.325,-0.5806636145901479,-0.701062472097486,-0.5352934583856617
Swiss Super League,1.4066985645933014,0.3412455153738706,0.2727272727272727,-0.6198036759113379,-0.7997007984976158,-0.4351895089611523
Italy Serie A,1.2291666666666667,0.20633643299782858,0.2916666666666667,-0.6591599426144502,-0.7023096367525394,-0.6234399779709545
Russian Premier Liga,0.9938380281690141,-0.006181035131434606,0.3028169014084507,-0.4440323739243265,-0.7107162204548946,-0.08350117674389651
Norwegian Eliteserien,1.1614583333333333,0.14967639943233715,0.49583333333333335,-0.4189748061712747,-0.5181443533437549,-0.3527745302972576
Italy Serie B,1.0249266862170088,0.024621084390348137,0.3919843597262952,-0.14530432235833005,-0.4201923818050002,0.09104537784473113
